Content,Stars,titre,origine,jour,mois,année,Pays
"Super jeu, vraiment très fun.Il a perdu un peu de son charme quand j'ai débloqué tous les personnages, donc je pense que je vais commencer à jouer en ligne pour lui redonner une nouvelle vie.",5,SUPER SMASH BROS,AMAZON,4,4,2019,France
Très bon jeu. Il est jouable en français et pose aucun soucis dû à l’import. Il est sous blister. Quand au jeu il est sûrement l’un des meilleurs sur switch je recommande,5,SUPER SMASH BROS,AMAZON,4,7,2019,France
Mes loulius sont ravi,4,SUPER SMASH BROS,AMAZON,11,1,2020,France
"Le premier jeu reçu avait la boîte écrasé, le deuxième a été volé dans le colis, le troisième fut le bon ! Jeu neuf et scellé, en français, boîte en anglais, fonctionne parfaitement ! Merci le SAV Amazon.",5,SUPER SMASH BROS,AMAZON,18,2,2019,France
Ce jeu est super :) le niveau histoire est un peu dur mais c’est un défi !Je conseille,4,SUPER SMASH BROS,AMAZON,25,1,2019,France
RAS.,4,SUPER SMASH BROS,AMAZON,2,3,2020,France
"Très bon jeu, jouable en solo, à plusieurs en local ou en ligne avec l’abonnement Nintendo. Compatible manette Switch Pro. Chaque perso a ses propres attaques, bcp de stages pour mettre en scènes les combats. Un must !",5,SUPER SMASH BROS,AMAZON,12,1,2019,France
Quel plaisir de retrouver ce jeu! L'expérience sur Switch est géniale!,4,SUPER SMASH BROS,AMAZON,8,7,2019,France
un jeu quoi,4,SUPER SMASH BROS,AMAZON,4,1,2020,France
Produit conforme à la description,4,SUPER SMASH BROS,AMAZON,2,11,2019,France
Super jeu. J'ai fais tous les smash bros et celui ci est vraiment sympa,4,SUPER SMASH BROS,AMAZON,17,3,2019,France
Toi je vais vraiment me justifier sur le fait que c’est le meilleur jeu Nintendo switch ?,5,SUPER SMASH BROS,AMAZON,23,3,2020,France
"Pour une personne fan des jeux vidéos, je suis certaine que ce jeu pourrait faire l’affaire comme cadeau. En tout cas, pour ma part, il est très apprécier par toute la famille.",5,SUPER SMASH BROS,AMAZON,17,3,2019,France
"Le jeu pour inviter du monde chez soi, Le seul, l'unique, le précieux, un jeu pour les dominer tous, dans la joie, et les coups bas, un jeu pour les amener tous!",5,SUPER SMASH BROS,AMAZON,17,3,2019,France
"Super jeu, rien à redire ! Big N maîtrise vraiment le concept. Le gameplay est facile à appréhender, le mode histoire est super intéressant et le mode multi permet des heures de fun !",5,SUPER SMASH BROS,AMAZON,23,1,2019,France
Super jeu rien à dire,5,SUPER SMASH BROS,AMAZON,23,12,2020,France
Rien à dire sur ce jeu mon fils en ai très satisfait,4,SUPER SMASH BROS,AMAZON,29,1,2019,France
Parfait rien a dire ! Jeu en parfait état et en langue francaise,5,SUPER SMASH BROS,AMAZON,3,5,2020,France
Boite en anglais mais le jeu bien en françaisUn super jeu,4,SUPER SMASH BROS,AMAZON,23,12,2018,France
"Ce jeu justifie l achat d une switch à lui seul, pour petit et grand.Les match s enchaîne et ne se ressemble jamais, à essayer d urgence.",5,SUPER SMASH BROS,AMAZON,31,3,2019,France
Depuis la gamecube je joue à ce jeu et pas dessus. Emballage niquel et jeu très bien et pas cher sur le site comparer aux autres merci !,5,SUPER SMASH BROS,AMAZON,29,3,2019,France
Vu les commentaires qu'il y avait j'avais peur que la cartouche ne soit pas dans la boîte en commandant mais la cartouche est la et le jeu fonctionne parfaitement,5,SUPER SMASH BROS,AMAZON,6,3,2019,France
Jeu reçu très rapidement : moment de détente pour mon fils et ses amis sur la switch.  L'image est superbe et il ont aussi les manettes achetées sur Amazon.,5,SUPER SMASH BROS,AMAZON,26,1,2019,France
Mon fils est ravi donc c'est l'essentiel :-) livraison dans les temps!,5,SUPER SMASH BROS,AMAZON,17,5,2020,France
"Clairement ce smash est vraiment ""ultime"", tout y est ! Que ce soit entre amis de manière amicale ou plus compétitive ce jeu est parfait ! Je recommande à 100%",5,SUPER SMASH BROS,AMAZON,15,1,2019,France
Jeu sympa à jouer en famille,4,SUPER SMASH BROS,AMAZON,19,5,2019,France
"Parfait, c'est le jeu original de NINTENDO pour la Switch, dans sa boite neuve sous blister, bien emballé dans une enveloppe à bulles, reçu rapidement, donc PARFAIT. Merci.",5,SUPER SMASH BROS,AMAZON,6,2,2019,France
Mon fils était content et c'est arrivé le joir J de son anniversaire comme je voulais,5,SUPER SMASH BROS,AMAZON,27,1,2020,France
"J'ai acheter ce jeu pour revivre l'esperience des smash bros , et franchement je suis décu , l'histoire principale n'est pas exceptionnelle avec des ""sous menu"" bizarre . Les graphismes sont vraiment bon  ainsi que les combats mais l'histoire est nul . Pour moi le jeu devient vite lassant .",3,SUPER SMASH BROS,AMAZON,1,2,2019,France
"Top, à plusieurs ou en solo (en ligne), un des meilleur jeu de la switch pour les adeptes des jeux de combats",5,SUPER SMASH BROS,AMAZON,11,8,2019,France
Bien mais boîtier en anglais .,4,SUPER SMASH BROS,AMAZON,13,4,2019,France
Un cadeau pour ma niece,4,SUPER SMASH BROS,AMAZON,29,4,2019,France
"Je n'avais pas vue que la pochette était en anglais, j'ai du aller lire la description, mais ouf le jeu est jouable en français ! C'est pour un cadeau de Noël :)",5,SUPER SMASH BROS,AMAZON,19,12,2018,France
"L'un des must have de la Nintendo Switch, sans aucun doute, sauf si vous n'aimez pas les jeu de combat.",5,SUPER SMASH BROS,AMAZON,12,9,2019,France
Le mode aventure est au top. La carte est très grande. Les combats sont diversifiés. Il y a beaucoup de clin d' oeil aux diverses licences.,5,SUPER SMASH BROS,AMAZON,19,3,2019,France
superbe jeu,4,SUPER SMASH BROS,AMAZON,28,5,2019,France
Très bien - Colis reçu dans les temps,4,SUPER SMASH BROS,AMAZON,28,12,2018,France
Cadeau pour mon frère qui est ravi,4,SUPER SMASH BROS,AMAZON,3,1,2019,France
"La jaquette est en anglais, mais le jeu se joue en français.Acheté pour faire un cadeau, j'ai eu des retours enthousiastes.",5,SUPER SMASH BROS,AMAZON,9,5,2019,France
Très bon jeux mon fils aime beaucoup ce jeux je le recommande,5,SUPER SMASH BROS,AMAZON,14,2,2020,France
"Produit conforme à la description : jaquette en Anglais mais jeu en Français.Livraison un peu longue pour un produit Prime, mais prix correct !",5,SUPER SMASH BROS,AMAZON,15,1,2019,France
Le jeu est super!,5,SUPER SMASH BROS,AMAZON,31,7,2020,France
Offrir,4,SUPER SMASH BROS,AMAZON,24,3,2019,France
"Pour un joueur de super smash bros mêlée, je suis déçu que se soit plus les mêmes touches. Mais aussi que la campagne n’est pas bien. Point positif, il y a plus de personnage et de maps.",3,SUPER SMASH BROS,AMAZON,18,1,2019,France
"Rien à redire, excellent jeu sur switch pour tous ages, seul ou entre amis. Rdv sur jeuxvideo.com pour lire la notation du jeu.",5,SUPER SMASH BROS,AMAZON,11,2,2019,France
On s'y prends vite surtout lorsqu'on a connu la première version sur la console d'ancienne génération.,5,SUPER SMASH BROS,AMAZON,20,9,2019,France
"Le produit à été livré dans les temps, et est de bonne qualité. Rien à redire.",5,SUPER SMASH BROS,AMAZON,17,9,2019,France
Très bien possibilité de débloquer des personnages mes enfants aiment beaucoup,5,SUPER SMASH BROS,AMAZON,15,1,2020,France
Super jeu de bastion pour se défouler entre amisAttention peu briser des couples et des amitiés,5,SUPER SMASH BROS,AMAZON,2,8,2019,France
cloud pisse moi dessus pitié,5,SUPER SMASH BROS,AMAZON,25,5,2020,France
Très  bon jeu cadeau à  mon fils qui en est pleinement  satisfait,5,SUPER SMASH BROS,AMAZON,29,9,2019,France
Satisfait du produit merci,5,SUPER SMASH BROS,AMAZON,16,6,2020,France
Je suis fan des jeux mario mais là je reste sur ma faim ! Je trouve les bagarres moyennes sans grand intérêt ! Pour résumer : BOF !,3,SUPER SMASH BROS,AMAZON,20,4,2019,France
"Pour ma part, le jeu est bien dans la boîte, c'est déjà ça, mais effectivement pas de notice, pas de point Nintendo.Dommage mais le prix reste un peu plus bas que dans les magasins, on comprend pourquoi.Ensuite, question jouabilité, c'est bon pour un enfant de 9 ans. C'est un portage sur Switch, et non une réelle écriture du jeu pour la Switch, dommage. La qualité graphique est un peu basse à mon goût pour des jeux dits ""récents"".",2,SUPER SMASH BROS,AMAZON,3,2,2019,France
Ce jeu... tous les connaisseurs de Super Smash Bros Brawl et possesseurs de Switch devraient l'avoir.,5,SUPER SMASH BROS,AMAZON,12,7,2019,France
"De bons délires en perspectives avec les copains ! Très bien à plusieurs, long..",5,SUPER SMASH BROS,AMAZON,24,8,2019,France
Jeu commandé pour noëlJe mettrai un commentaire ultérieurement,5,SUPER SMASH BROS,AMAZON,21,12,2019,France
Mon fils est ravis. l'import en anglais n'empêche pas de jouer en français.,5,SUPER SMASH BROS,AMAZON,12,9,2019,France
"Excellent jeu, bonne durée de vie pour la partie solo.",5,SUPER SMASH BROS,AMAZON,18,11,2019,France
mon fils est ravi car il a pu s'acheter ce jeu grace au prix très bien placé d'amazon merci!!!,5,SUPER SMASH BROS,AMAZON,21,1,2019,France
Sympa,5,SUPER SMASH BROS,AMAZON,14,6,2020,France
Les personnages sont variés. Il y  en a pour tous les goûts.,5,SUPER SMASH BROS,AMAZON,15,2,2019,France
Mon fils l'adore. 20/20.. il peut en plus échanger avec son père nostalgique de l'univers Nintendo ...,5,SUPER SMASH BROS,AMAZON,1,4,2019,France
Comme il faut et en plus livré en 24h !!,5,SUPER SMASH BROS,AMAZON,28,10,2019,France
Jeu familial très amusant,5,SUPER SMASH BROS,AMAZON,14,3,2020,France
"donné pour une version anglaise jouable en français, le jeu est complètement en fr, même la jaquette",5,SUPER SMASH BROS,AMAZON,2,3,2019,France
"je suis pas fane des jeux de combat, mais la au top c est l'éclate assurer; )",5,SUPER SMASH BROS,AMAZON,22,2,2019,France
"Smash est un des jeux que j'aime le plus, et cette version est légendaire. Merci Sakurai.",5,SUPER SMASH BROS,AMAZON,12,4,2019,France
Jeu original fonctionne parfaitement en français,5,SUPER SMASH BROS,AMAZON,15,1,2020,France
Cadeau de Noël donc pas encore ouvert !,5,SUPER SMASH BROS,AMAZON,27,11,2019,France
Très bien,5,SUPER SMASH BROS,AMAZON,17,4,2020,France
"mode aventure très cool, plein de personnages à jouer sur plein de cartes différentes",5,SUPER SMASH BROS,AMAZON,14,6,2019,France
"Conforme à la description, livraison rapide",5,SUPER SMASH BROS,AMAZON,2,1,2020,France
"Produits conforme, reçu en 1 jours avec prime !",5,SUPER SMASH BROS,AMAZON,22,10,2019,France
"Réception rapide, jeu intact. Rien à dire, parfait et le jeu, exceptionnel.",5,SUPER SMASH BROS,AMAZON,6,8,2019,France
"Jeux au TOP 👌🏼, rien à dire !Si ce n’est qu’il est très addictif 🤪",5,SUPER SMASH BROS,AMAZON,5,3,2019,France
Produit envoyé rapidement mais boitier cassé sur une des ouvertures.,3,SUPER SMASH BROS,AMAZON,3,8,2019,France
Une turie,5,SUPER SMASH BROS,AMAZON,23,3,2020,France
Superbe jeu. Parfait pour partager des soirées en famille ou solo. Bon emballage et bonne qualité,5,SUPER SMASH BROS,AMAZON,13,1,2019,France
Super jeu pour mes fils,5,SUPER SMASH BROS,AMAZON,5,1,2020,France
Mon fils est ravi 😊,5,SUPER SMASH BROS,AMAZON,4,1,2020,France
"Conforme à la description, arrivé en parfait état et très bon produit ! Très content :)",5,SUPER SMASH BROS,AMAZON,21,1,2019,France
Jeu switch,5,SUPER SMASH BROS,AMAZON,23,2,2020,France
Commande effectué le mercredi reçu le jeudi:fonctionne en français,5,SUPER SMASH BROS,AMAZON,9,8,2019,France
"Parfait, réception rapide",5,SUPER SMASH BROS,AMAZON,19,1,2020,France
Pas encore testé mais produit reçu avant la date de livraison prévue :) c’est cool,5,SUPER SMASH BROS,AMAZON,26,12,2018,France
Reçu rapidement. Mes enfants se régalent,5,SUPER SMASH BROS,AMAZON,28,10,2019,France
"mon petit neveu est ravi, le jeu fonctionne très bien et il semble l'adorer.",5,SUPER SMASH BROS,AMAZON,28,12,2018,France
"Bien reçu dans les temps, et le jeu est vraiment super !",5,SUPER SMASH BROS,AMAZON,5,4,2019,France
Toujours aussi amusant ! Mes enfants adorent !,5,SUPER SMASH BROS,AMAZON,26,8,2019,France
Conforme,5,SUPER SMASH BROS,AMAZON,2,2,2020,France
Top,5,SUPER SMASH BROS,AMAZON,29,1,2020,France
RAS sur ce jeu connuLivraison respectée.,5,SUPER SMASH BROS,AMAZON,30,8,2019,France
Bon jeux de combats,5,SUPER SMASH BROS,AMAZON,2,11,2019,France
Super,5,SUPER SMASH BROS,AMAZON,8,1,2020,France
Très bon jeu à partager en famille ou entre amis,5,SUPER SMASH BROS,AMAZON,30,4,2019,France
Super !,5,SUPER SMASH BROS,AMAZON,9,12,2019,France
"Conforme à la description, on sait pourquoi on achète ce jeu 👍🏻👍🏻",5,SUPER SMASH BROS,AMAZON,8,1,2019,France
J’adore le jeu les graphismes et l’histoire est trop bien 💪🔥,5,SUPER SMASH BROS,AMAZON,12,2,2019,France
Le jeux est parfait pour qui apprécie Super Smash Bros,5,SUPER SMASH BROS,AMAZON,16,3,2019,France
Conforme,5,SUPER SMASH BROS,AMAZON,10,12,2019,France
"Je l'ai reçu en bonne état,excellent!",5,SUPER SMASH BROS,AMAZON,10,8,2019,France
Niquel,5,SUPER SMASH BROS,AMAZON,25,11,2019,France
Super jeu,5,SUPER SMASH BROS,AMAZON,7,10,2019,France
Prix raisonnable et vite livré,5,SUPER SMASH BROS,AMAZON,26,7,2019,France
Parfait c’est exactement ce que je voulais,5,SUPER SMASH BROS,AMAZON,21,4,2019,France
Très bon produit mes enfants ne le lâche plus,5,SUPER SMASH BROS,AMAZON,12,1,2019,France
Un des jeux à avoir absolument sur Switch,5,SUPER SMASH BROS,AMAZON,23,2,2019,France
Ce jeu est genial,5,SUPER SMASH BROS,AMAZON,25,7,2019,France
Good,5,SUPER SMASH BROS,AMAZON,5,10,2019,France
Parfait,5,SUPER SMASH BROS,AMAZON,29,9,2019,France
TOP CE JEU JADORE,5,SUPER SMASH BROS,AMAZON,30,6,2019,France
Content de mon achat offert à Noel,5,SUPER SMASH BROS,AMAZON,18,1,2019,France
Mon fils s’eclate Avec ce jeu,5,SUPER SMASH BROS,AMAZON,14,3,2019,France
Aucun problème,5,SUPER SMASH BROS,AMAZON,20,8,2019,France
"Reçu plus tôt que prévue, très satisfait.",5,SUPER SMASH BROS,AMAZON,7,1,2019,France
"Très bon jeu, je l'adore",5,SUPER SMASH BROS,AMAZON,10,4,2019,France
"Aucune notice dans la boîte . Pour un jeux Neuf il devrait être au moin  complet , il me semble que en France il et interdi de vendre des objet neuf san notice .",2,SUPER SMASH BROS,AMAZON,5,1,2019,France
jaime bien,5,SUPER SMASH BROS,AMAZON,1,8,2019,France
ike fait le taff,5,SUPER SMASH BROS,AMAZON,26,4,2019,France
Super mieux que la version pécédente,5,SUPER SMASH BROS,AMAZON,15,1,2019,France
Super bien reçu fonctionne tres bien,5,SUPER SMASH BROS,AMAZON,14,1,2019,France
Très rapide! Je suis très satisfaite!,5,SUPER SMASH BROS,AMAZON,7,1,2019,France
pas  de soucis . impeccable,5,SUPER SMASH BROS,AMAZON,4,1,2019,France
Merci Amazon livré très rapidement !,5,SUPER SMASH BROS,AMAZON,25,12,2018,France
Super,5,SUPER SMASH BROS,AMAZON,28,7,2019,France
"C'est toujours un grand plaisir de découvrir que la boite ne contient ni le jeu ni la notice, petit regret de ne pas avoir plus lu les commentaires puisque je ne suis apparemment pas le seul a qui cela est arrivé...",1,SUPER SMASH BROS,AMAZON,26,3,2020,France
Jeux reçu sans problèmes,5,SUPER SMASH BROS,AMAZON,16,3,2019,France
Super,5,SUPER SMASH BROS,AMAZON,5,7,2019,France
Rien à dire,5,SUPER SMASH BROS,AMAZON,25,4,2019,France
très bon rapport qualité prix,5,SUPER SMASH BROS,AMAZON,11,1,2019,France
"Parfait, RAS",5,SUPER SMASH BROS,AMAZON,31,5,2019,France
Mon fils est ravi,5,SUPER SMASH BROS,AMAZON,24,2,2019,France
Jeux très amusant multijoueurs,5,SUPER SMASH BROS,AMAZON,24,1,2019,France
"Parfait, rien à redire",5,SUPER SMASH BROS,AMAZON,3,1,2019,France
"Reçue sous blister, mais boîte vide !!! Aucun jeu à l'intérieur, ni notice... Et nous ne somme apparemment pas les premiers à qui cela arrive.Autant dire que pour le prix nous sommes passablement agacés !",1,SUPER SMASH BROS,AMAZON,5,3,2020,France
Nintendo wich..envoie rapide👍👍❤,5,SUPER SMASH BROS,AMAZON,6,1,2019,France
Très bien,5,SUPER SMASH BROS,AMAZON,15,2,2019,France
good game,5,SUPER SMASH BROS,AMAZON,8,2,2019,France
Ok,5,SUPER SMASH BROS,AMAZON,17,3,2019,France
super jeux,5,SUPER SMASH BROS,AMAZON,3,2,2019,France
Top,5,SUPER SMASH BROS,AMAZON,11,3,2019,France
il l'adore,5,SUPER SMASH BROS,AMAZON,22,1,2019,France
Top,5,SUPER SMASH BROS,AMAZON,1,2,2019,France
jeu reçu dans un emballage très moyenpas de noticejeu détecté une fois sur deux et encoredéçue,2,SUPER SMASH BROS,AMAZON,13,2,2019,France
RAS,5,SUPER SMASH BROS,AMAZON,23,1,2019,France
bien,5,SUPER SMASH BROS,AMAZON,8,1,2019,France
Ras,5,SUPER SMASH BROS,AMAZON,22,12,2018,France
👍,5,SUPER SMASH BROS,AMAZON,15,12,2018,France
"Jeux pas mal mais très lent au chargement.Par ailleurs, il s’agit d’un apport Allemand.",2,SUPER SMASH BROS,AMAZON,11,2,2019,France
Pas envie de mettre une étoile... pas le choix . Rien à dire.... juste reçu la boite sans le jeu. Lamentable et aucun suivi client. Une belle expérience négative que je ne vais pas renouveler. Je vais faire votre pub !!!!,1,SUPER SMASH BROS,AMAZON,11,3,2019,France
"Un jeu “neuf” sans notice, donc oubliez vos points Nintendo etc...",2,SUPER SMASH BROS,AMAZON,18,1,2019,France
"Comme bien d’autre client a priori, j’ai reçu la boîte sans le jeu...",1,SUPER SMASH BROS,AMAZON,26,3,2020,France
"Acheté pour offrir, au déballage la boîte était vide.sympa le cadeau, visiblement je ne suis pas le seul à avoir eut ce problème...",1,SUPER SMASH BROS,AMAZON,16,2,2019,France
Je n ai reçu qu une boîte vide....inadmissible!!!!,1,SUPER SMASH BROS,AMAZON,17,3,2020,France
"Très déçu, la boîte était vide. Pas de notice mais le pire pas de jeu!! Grosse déception pour noël...",1,SUPER SMASH BROS,AMAZON,27,12,2018,France
"Jeu volé a l’intérieur,petite fente au niveau du plastique pour que l'on ne voit pas qu'il a été pris, arnaque de haut niveau",1,SUPER SMASH BROS,AMAZON,16,3,2019,France
"Le jeu était manquant dans la boite, pas de cartouche a l emplacement du jeu !",1,SUPER SMASH BROS,AMAZON,2,1,2019,France
"J’ai reçue un autre jeu à la place,je suis déçue....",1,SUPER SMASH BROS,AMAZON,19,6,2019,France
Pas de jeux ni de notice une grosse arnaque ! N'achetez surtout pas ! 😡🤬,1,SUPER SMASH BROS,AMAZON,25,1,2019,France
"Avec un contenu incroyable, Smash Bros Ultimate peut aussi s’enrichir dans la durée et rallonger une durée assez incroyable. c'est un jeu qui encapsule une époque et un gigantesque morceau de nostalgie et de fun. Le jeu, lui, est toujours aussi efficace en multi comme en solo qui propose 2 modes très sympathique ( le mode classique et le mode histoire). C’est une grosse mécanique bien huilée avouons-le : la quantité est dantesque, la qualité est bonne, et l’essentiel du titre réside dans son infini champs de possibilité . Un jeu a avoir absolument pour les fans de jeu de combat et qui possède une Switch.❤️LES PLUS👍Incroyablement généreux👍Le mode classique!👍Un bonheur pour les amoureux de Nintendo et autres jeux Japonais👍Techniquement super beau!👍Multi très convaincant💔LES MOINS👎Devoir débloquer les personnages demandera un petit temps qui ne plaira certainement pas a tout le monde👎Le mode histoire moins inspirer que la version WiiAchat fait sur le nintendo e-Shopmerci pour votre lecture.",5,SUPER SMASH BROS,AMAZON,14,12,2018,France
Le jeu ne marche pas et il n’y a pas notice...,1,SUPER SMASH BROS,AMAZON,25,1,2019,France
G reçu le jeu mais il était deja commencé,1,SUPER SMASH BROS,AMAZON,4,1,2019,France
