Content,Stars,titre,origine,jour,mois,année,Pays
good gift,5,POKEMON,AMAZON,10,2,2023,États-Unis
Recomendable,5,POKEMON,AMAZON,15,9,2022,Mexique
"a lot about the game was fun. the main conflict was stupid. it was so, so stupid. and saying 'well, what do you expect from a kid's game?' is insulting to children.but other than that, the game was very fun, had some great new features, some great new pokemon. not much else to say, really.",4,POKEMON,AMAZON,6,1,2023,États-Unis
"For me, this game was fantastic! Of course, I know a lot of people are not going to like this game and I will give reasons why you should or shouldn’t buy this game.First of all, this is not the USA version, it’s the European (I believe).The game has a certain controversy called ‘Dexit’ in which a portion (234) of the 898 Pokémon are missing in the game. They cannot be caught or transferred from a later game. So some of your favorites may not be in it.This game also has DLC ($29.99), paid content to further your gameplay. I have the DLC and I really enjoyed it. There’s a whole new island and another new area to discover with brand new stories.This game has a ‘boring, unmemorable gimmick.’ Pokémon games usually have a gimmick like X and Y’s mega evolution but Sword and Shield’s is Dynamax/Gigantamax. Basically Pokémon get bigger and more powerful for 3 turns. Some Pokémon change appearances also. You can decide whether you like it or not. I don’t hate it or love it, so it didn’t really ruin the game for me.This game is pretty easy. It is one of the easiest games to beat. For me, I didn’t dynamax through the whole story or use any items in battle to up the difficulty. You could also try a nuzlocke or another challenge. This is the right difficulty for kids though.There is character customization so you can dress up but you cannot change your Gender once you select it.For returning players, this game has added some quality of life features like the removal of HM’s (yay) and many new Pokémon. There is also a new fairy type if you played before X and Y. No more heart scales to relearn moves either!For competitive players, this game makes it really easy to breed Pokémon and teach them old moves (no heartscales)! They can max out IV’s with an item and there are lots of TM’s and TR’s (one-time-use TM’s). Don’t worry - you can get multiple TR’s of the same move.Multiplayer- this game has some multiplayer aspect to it. There’s online (playing using internet) and local (people physically next to you). You engage in battles by teaming up with 3 other people and fighting a big dynamax Pokémon. BEWARE: You will have to pay for a subscription to play online ($20 for 1 year). Locally, it’s basically the same thing as online but you don’t need a subscription and you see the person. Each person also needs their own copy of Sword or Shield and their own switch, which can get pricey.There are still version exclusives. Basically, this game and Pokémon Shield are the same game but with minor tweaks. *maybe small, minor spoilers ahead* There are 2 gym leaders exclusive to each game (Sword has Fighting and Rock and Shield has Ghost and Ice). Also, some Pokémon are only found in 1 copy of the game (either sword or shield).Most, if not all, trade Pokémon can be caught in the wild.That’s all for my review. I personally loved this game but it ultimately comes down to you if you want it. It’s the perfect addition for kids!",5,POKEMON,AMAZON,5,3,2021,États-Unis
This was bought as a Christmas gift for my nephew. He seemed pleased with it. Hopefully will keep him amused.,4,POKEMON,AMAZON,20,1,2023,Royaume-Uni
Definitely will meet your expectation.,5,POKEMON,AMAZON,22,1,2023,États-Unis
Game has content! I know shocking. Isle of Armor dlc isn't worth it but I recommend The Crown Tundra! It's like the Legends Arceus snow area but with a cool interesting story around Calyrex.,4,POKEMON,AMAZON,25,12,2022,Royaume-Uni
"This game adds a great new set of Pokemon with very interesting abilities. Competitive play is a lot of fun and it's much easier for newbies to get into competitive. Dynamax is probably the best gimmick among the recent Pokemon games. Main game is kinda straightforward and short but the wild area concept is really cool, and the champion is one of the strongest in the series.",4,POKEMON,AMAZON,19,9,2022,Inde
Bought for grandsons birthday. He loves this game,5,POKEMON,AMAZON,7,1,2023,États-Unis
"So I had to sit down and write a review for this game after reading a few others and seeing that they have clearly missed the whole point of this game! One review here states they completed it in 20 hours and so one starred it...well I am 15 hours into the game and am just on my way to 4th gym.  The reason is is that this is not a game you are meant to grab a team of 6 and blast through everything.Like most people I was turned off by some of the features that were to be included, Dynamax, lack of National Dex, etc.  But I picked it up anyway and instantly found myself immersed as I emerged from my house and saw Wooloos (sheep pokemon) grazing and Butterfrees flying overhead.  It felt like I truly was stepping into the world of Pokemon.  As someone who has played since Gen 1, I was impressed.  I also enjoyed how they set you up for the gym challenge with you having to be endorsed/sponsored.After watching a brief animation of the starters mucking around I picked up my Grooky and was ready to begin my adventure...but first a narrative forced route through The Slumbering Weald, a dense forest thick with fog that began to cloud my vision with haunting music playing through the background.  There a strange pokemon emerged before me, a chilling cry spreading fog further into my path, I attacked but to no avail, then blacked out and awoke to find it gone.  Not going to lie...I was intrigued.  For the first time in a long time I wanted to know more!!Following the usual shtick, i.e. fight rival, be the best blah blah blah I found myself in the heart of the game, the Wild Area, and this place is awesome! Think a smaller scale Breath of the Wild.  Unlike most games there are not just a handful of pokemon, as the weather and time changes you can find more than 30-40 pokemon around here, this gives you huge team opportunities and will allow for future playthroughs to be different each time.  I wandered to the right and picked up a Tyrogue and a handful of new pokemon.  I then encountered the first issue in game, that people moan about...not being able to turn off EXP Share.  I arrived at the first city and headed around towards the gym where I trounced the first gym with absolute ease and my pokemon were a good 4 levels over despite me being careful and avoiding trainers and wild battles so as not to overlevel.  I returned to the Wild Area and decided I wanted to spend some time exploring and just enjoying the game, so I boxed my main team and pulled out a fresh new team of 6 of randoms that I didn't care if I levelled up, and this is where I found the real joy and heart of this game.  Wandering around and exploring the lush scenery and finding all the hidden gems and pokemon, camping out and searching for rare, exotic items and pokemon, switching my team around every so often to raise some of the new critters I had found.  This is NOT a game to run around with 6 pokemon, but a game that allows you to swap and change your team and raise them quickly so you don't have to worry if a new pokemon comes along that you want to try.  My main team of 6 quickly began changing as I tried out every new pokemon I could find.  My Tyrogue became Hitmonlee and I picked up a Toxel from the nursery...one of the COOLEST evolutions I have ever seen! I even picked up the Apple pokemon which again evolved into a surprisingly awesome dragon! Well done Gamefreak! The designs for this game are some of the best in a long time!In short I will spend hours more on this game just exploring and raising all the new pokemon.  I'm currently swapping between around 20 pokemon (you have a portable pokemon box so can switch on the go). You set your own challenge.  I keep my main team for the story and am finding they are even slightly underlevelled now which is great as the wild pokemon end up being really strong and gym trainers and challengers actually put up more of a fight! But if I so wish I can power them up with a few random battles against the stronger Wild Area pokemon.  So don't rush and overpower yourself, just take your time and enjoy exploring everything! There's plenty of side quests and hidden gems to find",5,POKEMON,AMAZON,19,11,2019,Royaume-Uni
I honestly never got to play the game because I was going to get because I thought it could have up to 4 players but turns out it only has 1 player so I sent it back,4,POKEMON,AMAZON,1,12,2022,États-Unis
"El juego es bueno, y llego en buen estado.No le doy 5, porque me llego la version Europea, que aunque sí funciona correctamente en cualquier Switch, me hubiera gustado que se especificara en la publicación.",4,POKEMON,AMAZON,7,12,2022,Mexique
I wish it had disclosed that sword and shield are basically the same game but each has a few charactors that the other doesn't. Not worth buying the game twice for just some minar charactor differences. Also there aren't many as I have been playing both games and have yet to find any difference between them. It won't be the sales fault obviously. It is the game developers. But it would be better if the add declared a warning that they are not two different games. I could have chosen one of the other bundles and had two games instead of one twice. Not worth the money paid by far.,4,POKEMON,AMAZON,8,9,2022,Royaume-Uni
"...there are a few things that disturb me. first I'll come to the really great things. the Galar Region in which this story takes place, is very beautifully designed with big hills and stuff - what you might have missed in the previous generations. there is a ""Wild Area"" where the weather changes from day to day and you have different possibilities of catching various Pokémon, from which some may even chase you if you go nearby. you may even rotate your view, but this is limited to the Wild Area - in other areas you have the same primitive isometric view as in the former Pokémon games. the soundtrack of the game is surprisingly very good at some points - even a bit mesmerizing, so you could dive into your Pokémon experience even further. though I'm very glad that you can finally (!!!) turn off the music completely with the other sounds still being active (that's really a game changer for me since I like to listen to other music while playing the game and don't like it to be completely silent).unfortunately the main story line isn't challenging at all and those other trainers you'll come along just start to annoy you sooner or later. same for the Gym Trainers; the only ones which are somewhat competitive appear in the ""Battle Tower"" which you're granted access after completing the game. and you may of course compete in the monthly competitions which are truly challenging and this is the very reason I play the fourth generation of Pokémon anyway; the main storyline becomes it's means in the end.it's a shame that you only get crucial hints by several YouTubers though - at least they could put some true ""Trainer Tips"" like the use of the Destiny Knot and Everstone for breeding purposes into the game. and some Gym Trainers could use advanced tactics like having a Trick Room team or something, which would make it a little more challenging, there could have been different difficulty levels so the game would be even interesting for those who don't want to compete in any Online Competitions.the fact that you only get the most important information by some YouTubers makes you believe that you may rely on what they're saying. but the developers made some changes in the newest update in January, there you get punished if you made use of certain techniques as the ""Date Spamming"". none of them knew that those exploits will break your game later in that you can't have certain advantages for competing online, so you can't blame them. but that's why I had to buy another version of that game (and do so much stuff AGAIN!!!) so I'm not punished for not knowing what will happen later. this really makes it hard to remain calm.the last thing I find very upsetting is that there is so blatant satanic symbolism in the game like the Pokéball in front of each Gym has small edges in the middle of it so it forms a Saturn with three sixes inside of it. this makes me very disappointed, though I really like the game and this whole Pokémon universe that's why I'm giving it four stars anyway.",4,POKEMON,AMAZON,17,2,2020,Allemagne
"I love this game. It's very fun and it can be difficult to battle and go through the gym leaders. You get to catch other types of Pokémon. It's almost addicting. Beware of playing this game, you might get distracted. I love it!",5,POKEMON,AMAZON,17,11,2022,États-Unis
"Muy buen juego, continuación de la franquicia, muy buenas opciones para compatibilidad con otros juegos de la saga.",5,POKEMON,AMAZON,25,10,2022,Mexique
,3,POKEMON,AMAZON,3,11,2022,Inde
"This is such a good take on the classic Pokémon games from game boys, the game is meant to be set in Pokémon Britain and is a easy enough for 6 years to play, would recommend very good game",5,POKEMON,AMAZON,5,11,2022,Royaume-Uni
"Overall this game is very good in terms of graphics and general storyline. It plays similar to previous editions of pokemon on the 3ds and ds. Without spoiling the game too much, I can honestly say I enjoyed the game because of how much I love pokemon.BUT there is a lot of things that made me feel like this isn't the five star pokemon game I was hoping for;To start with I was pretty disappointed with the starter pokemon final evolutions, especially Inteleon and Cinderace, both of which look too human like in their stances and overall look. I prefer them looking more pokemon/animal like. So for me as someone who has played since pokemon red/blue, I was disappointed.The main reason for me giving this four stars is that I am rather disappointed that the game has changed as much as I hoped. It is almost exactly the same as previous versions of the game. I was hoping that it would be more like pokemon collusuem/pokemon xd. I also was disappointed that I was not able to transfer my pokemon or even get all the pokemon from previous generations in this game. I knew that would be the case as he developers made it clear, but they insisted this was due to the new pokemon models in the game, however as many have stated in the reviews and online, the models have honestly not changed, or barely changed. So I don't see the reason behind the lack of pokemon in this game.Another thing I find really annoying is the lack of menu before starting the game. When you click the game and load it up on the nintendo switch menu, if you have made a save file already, it loads straight into that save file. So if you want to start a brand new save file, you have to delete all the app data which is a bit tedious. I would prefer the load/new save file option menu like in previous games.Would still recommend it for anyone who is a diehard pokemon fan such as myself, because it is a good game, just not the best4/5( Click “Helpful” if this helped ^__^ )",4,POKEMON,AMAZON,19,11,2019,Royaume-Uni
"As someone who enjoys the format and basis of Pokemon games, this was a really fun game and I enjoyed my time playing it. But I can see why some people are leaving negative reviews as it doesn't really bring any thing new to the table when it comes to mainline Pokemon games.When comparing the game with other mainline games in the series, I think that my money would be better spent on Legends: Arceus which is a completely new experience and definitely brings a new perspective to the series.Overall, enjoyable game, but not the best option for the console.",4,POKEMON,AMAZON,29,4,2022,Royaume-Uni
"This game was extremely good, i completed the entire thing already and got zacian, About to do the battle tower.A lot of people are review bombing this game because they are too easily convinced by twitter, But really, this game is fantastic, The story was great, the characters, the new pokémon, the wild area, all the new items and mechanics, It's really improved since ultra sun and moon and i feel sad for all the people boycotting this incredible game, they are the ones missing out.What i loved most about this game the most was the wild zone, it is so much fun to go there and catch a load of pokémon in a huge open area and do the dens, You can collect W (watts) and redeem them for items like TMs and wishing pieces (which are used to attract dynamax pokémon in the dens).The game was a little easy but you can definitely challenge yourself if you avoid the wild zone and just play like you would in any other pokémon game, I got so over levelled to the point where i was avoiding trainers.Spoilers ahead:The story was pretty good, You take part in the ""gym challenge"" with loads of other trainers and compete to battle the champion, If you succeed and beat the champion you become the champion (just like other games) Instead of it just being you and your rival doing the gyms, it's lots of other people, you meet some of these other characters during the gym challenge, Like bede who was ""endorsed"" by the chairman and thinks he's more important than you, and eventually gets disqualified, but becomes a gym leader later in the game and battles you during the finals.You can't trade pokémon from previous games which is a bit of a shame for some people, Personally i don't mind since i prefer to use the pokémon that were actually in the game anyways.I could go on, but i don't have the time, I give this game a 9/10, It was very good and there were very few issues with it.",5,POKEMON,AMAZON,18,11,2019,Royaume-Uni
"I first played Pokemon Red and then took a break for about 15 years, since then I have played all subsequent titles very recently. I have to say it is the worst mainline pokemon game I have ever played for the following reasons.- NegativeIt isn’t a challenge at all - There are no difficult battles or routes. Exp share is always on and you can’t turn it off - so levelling is really easy. You get exp candies for completing the wild area raids, so it isn’t hard or time consuming to evolve a full pokedex. There are no caves or forests with more than 4 trainers. In fact every route except the final one has no more than 4 battles, most of these trainers with just one pokemon. Fishing is only on dark spots and there is one limited ocean to explore. Only one wild area and it didn’t take me long to explore it fully, maybe about two hours. Once you have the pokedex data for your opponent pokemon, the game tells you in battle, whether or not your attacks will be effective before you use them. This makes it even easier. There is no team rocket or “evil” team to pursue, there is a “team yell” but this just involves lots of unnecessary speech and about 5 battles in total across the whole game. The gym challenges are essentially like the thunder gym in pokemon red and are a bit limited. The dragon gym leader only has one dragon despite there being around 10 dragon evolution lines in the game. You can’t use the pokeball controller either. There are no HM’s or any need for them, you have flying taxis from the first city making the railways rather pointless - i only used them twice when the story required me too. The story is very limited talking about a “dark day” in the past but they always tell you to just focus on your gym challenge rather than explaining it in anyway. Some of the new pokemons designs are awful - the four fossil pokemon are basically just two designs with different colours. The gigantimaxing seems fairly pointless as you can’t use it on online battles only in game at gyms etc. This is unnecessary as everything in your party will be overpowered anyway as I was 20 levels higher than my opponents for the entire game. Apart from one pokemon the galarian forms aren’t interesting type wise or by design. Seeing as it is the first mainline game available to play on a tv the graphics aren’t that great with obvious touches missed out such as bark on trees. Lets Go had better graphics. The wild area camera is glitchy and it is hard to use. There is no long catching/battling experience such as silph tower or the rock tunnel. Half the time your opponents will heal your party halfway through anyway - such as the final championship - making it even easier. There are no new animations for anything rendering their excuse of not including a full pokedex ridiculous. The camping is pointless, only did it once, as you can fly to key places in the wild area to heal anyway. The new starters are weak and only single typed rendering them basically pointless past the first two badges. Charmander is available but not bulbasaur or squirtle. Butterfree but not beedrill. Really strange choices made there.+ PositiveThe wild area is a good idea if only there could be more than one and trainers in it. I liked the championship idea but it needed to be more challenging.Overall I am pretty disappointed, it could have been an amazing game but instead they botched it. Overall the game just feels unfinished, they should have beefed the story up, corrected some of the graphical anomalies, included the full dex and added more components to the game like they have done in previous games. It definitely is the most limited mainline adventure I have played and I did not feel challenged at any point. Unfortunate, i will wait for reviews of the next one before buying it.",2,POKEMON,AMAZON,28,11,2019,Royaume-Uni
Fue un regalo,5,POKEMON,AMAZON,14,10,2022,Mexique
Quick and as advertised,5,POKEMON,AMAZON,7,11,2022,Royaume-Uni
"It’s very short and I’d say not worth the £45 or so I paid for it. It’s fine, I liked it. Best thing about it is the dlc, kind of. The dlc drags on a bit and is quite the hassle, though it does give you access to tons of legendaries!",3,POKEMON,AMAZON,15,9,2022,Royaume-Uni
"This is my first Pokémon game since Pokémon Yellow many moons ago.Graphics are pretty good and are cartoony like previous titles - maybe not as impressive as Breath of the Wild but still quite decent. The region of Galar is bright and colourful. Like old titles, you can find items out in the world like Poke Balls and potions, and talking to NPCs can land you some nice goodies.The Pokémon themselves are quite good, maybe not quite the classics as previous Generations. They seem to level up quite quickly, in just slightly over 3 hours most of my team are over level 10, and my Scorbunny (my starter Pokémon) has just evolved.Not all previous Pokémon are in the game which has caused quite a bit of controversy as you can't now (to my understanding) ""catch 'em all"". That's a bit of shame but maybe including all 800+ Pokémon (or whatever the total number is now!) would have significantly extended development time on the game, and considering the ""next gen"" nature, may have been infeasible (e.g. pushing up development costs). This doesn't really bother me though as there's still plenty of Pokémon to see and catch, and there's more depth here I think than the likes of the mobile game, Pokémon Go.Overall, a pretty good Pokémon game and a good first attempt for the Switch. Maybe not the best entry for those who have played the other titles but so far I've enjoyed it.",4,POKEMON,AMAZON,17,11,2019,Royaume-Uni
"I have played a lot of the old school Pokemon games; Red, Blue, Yellow, Gold, Silver, Crystal, Diamond, Pearl and Platinum - the games after that I don't have much experience with. I decided to get back into them and purchased Pokemon Sword - most of the basic gameplay is the same as I remember, but there are somethings which are different and not necessarily for the best. (Found the water bike and air taxi's weird and sort of takes the fun out of using your pokemon for that stuff) Personally I have found it to be not as indepth as the ones i have previously played - I have had it a week and have finished the gym and championship challenges. There is lots of stuff to do in the wild areas but I just don't find it as challenging as the older games. There used to usually be an evil side challenge to be dealing with at the same time, and although there is a sort of side task its not really something you get to be involved with that much - at least thats what i have found so far. Also why are the Pokemon SO ugly and weird in the newer games?! All in all, not a bad game, but not the best of the bunch either. Will be interesting to see what the future games will be like.",4,POKEMON,AMAZON,24,4,2020,Royaume-Uni
Birthday gift for a granddaughter and she was thrilled…,5,POKEMON,AMAZON,4,10,2022,États-Unis
"The game is great fun, but not the same as the games I grew up loving. The quality of the packaging is great as per usual from switch games and there was no issues here. The game itself is, at its core, no different from most Pokemon games. It’s just a bit empty. There’s much better animation and very fun 3D graphics, but there’s a sore hole missing in difficulty and content. Thankfully, as it’s the most recent game there’s constant online features and DLC being added to keep the game alive, so the lack of content is less of an issue now. The game is too easy however. Because all of your Pokemon gain EXP after a battle now, not just those involved, your team races up the levels and you can steam right through the game!The setting is fun, even if the UK references are very over the top compared to what previous games did. It certainly adds charm to the game though, and made me enjoy exploring the now much bigger towns and cities more than I had done previously.All in all, a good game, but die hard fans of the originals will be left wanting more. A great place for new comers to jump in however!",4,POKEMON,AMAZON,25,6,2020,Royaume-Uni
"This game is quite controversial but it's really not that bad!I found it rather enjoyable. The graphics are better then people make it out to be but it might lag for a few secs in some parts (not often tho)  The region is really beautiful, from the buildings to misty forests. The characters look really cool and colorful, really happy with their design .It's kinda a disappointing that there is not that many new pokemons but majority of them look really cool or cute. Tho it feels sometimes like they are missing some animations when they attack.Compared to the old games this one is really and I mean REALLY easy. The gym battles are nothing, I beat majority of them with my starter pokemon and without switching. It also has the controversial exp share so it makes leveling some much easier (it really depends on you if its a plus or not) Also you can really get lost in the wild are and spend a lot of time there!Overall:It's pretty nice and chill game. I don't think it deserves all the controversy it got and its really not that bad that people made it out to be. But if you are HARDCORE pokemon fan you mighty be disappointed with some of the decisions or features",4,POKEMON,AMAZON,15,12,2019,Royaume-Uni
Item came fully closed and game was inside. Everything was just as expected,5,POKEMON,AMAZON,13,9,2022,Royaume-Uni
"Juego original y todo, pero el case llegó roto, de ahí todo bien",4,POKEMON,AMAZON,21,8,2022,Mexique
"Video Player is loading.Play VideoPlayMuteCurrent Time0:00/Duration0:00Loaded:0%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:001xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedSubtitlesLégendes désactivées, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.HAVEN’T PUT THIS GAME DOWN SINCE I GOT IT. IT’S SO INCREDIBLY FUN. THE PACKAGE CAME QUICKLY EVERYTHING IS GREAT! This is actually my first Pokémon game ever and it’s really easy to get the hang of it quickly!",5,POKEMON,AMAZON,29,6,2022,Royaume-Uni
"There are good and bad bits about this game (as there would be for any other). The good things are, that Its a new adventure, new pokemon, graphics are incredible, the wild area’s an adventure, its cool to fight the giant pokemon. But the bad stuff are that the game feels too arcadey, it’s too fast. Before you know it you’re at level 30 and not even faced the first gym.Myself, I’ve played every gen of pokemon games and I prefer the older ones. The reason why is because I enjoy the feeling of the older buildings and world. This game feels too much like a iOS game... where you have stages and complete stages before going to the next one. It feels too fast and a lack of direction in the game.But there are really fantastic stuff about the game, the graphics are incredible, new story, new Pokemon, and the amount of work that’s gone into the game is phenomenal. Its just not my cup of tea, for me personally, its just too fast.",4,POKEMON,AMAZON,17,7,2020,Royaume-Uni
"The idea of Dynamax pokemon might seem great, but it gets stale and is an uninteresting way to win battles. The graphics aren’t amazing, and you cannot get all the previous pokemon like you could in previous games, without buying the DLC. The storyline is not magnificent, and definitely needs work, but the redeeming feature about this is the online comparability and the wild area. The DLC is AMAZING, but that costs too much money for the content of it, considering it is a DLC. Overall, the game is average",3,POKEMON,AMAZON,21,4,2022,Royaume-Uni
"After playing this through to the end, this game truly was great.  I haven't played a Pokemon game since Stadium on the Nintendo 64, and was not disappointed.  I love the sheer variety of different Pokemon you can catch, as well as the gym battles and the champion's cup.  I really liked the dynamax feature where your Pokemon turn gigantic too.  My only gripe is that the game isn't that like long, a little over 20 hours and is relatively easy to complete.  Apart from this this is a five star game.",5,POKEMON,AMAZON,2,1,2022,Royaume-Uni
"Giving it four stars because the product is perfectly functional and as described. The game itself disappointed me. I've enjoyed Pokemon merchandise and cards since I was a kid but never played the games. This was my first Pokemon game so take this review with a grain of salt. I was disappointed by the game and quickly grew tired of it. Granted, I was mostly looking forward to collecting Pokemon and the story line over pvp but I was definitely underwhelmed. Your npc friend is perhaps the least interesting fictional character I've encountered and dialog feels like complete filler. (No voice acting and many scenes skipped like the $60 game did not animate me eating with a gym leader, they just skip the whole interaction). The npcs are really un-special in my opinion, mostly repeat and lack dimension. I feel cheated. I enjoy Pokemon GO much more and it's... free.",4,POKEMON,AMAZON,9,12,2020,États-Unis
"This probably could have scored higher (it did have that potential), but it has some features missing, you can't even get all of the Poke'mon in this game, and some of them have to be purchased in DLCesque ways to be in the game at all. For the Poke'mon motto to be ""gotta catch'em all"" for all these years, after playing this I am sad to report that it has now changed to ""gotta buy'em all"".",3,POKEMON,AMAZON,2,8,2022,États-Unis
"Now this game is quite fun! I have a few issues with it though. The problems are mostly graphical.So to start with the pros:1. Great story line2. Characters & new features are great!3. I like how they include old sounds from previous pokemon games - Stricly personal reasoninigCons:1. Graphics are poor - What's up with those trees? They look like someone from reception scribbled within the lines.2. The pokemon move stiffly... There is no fluid motions3. Small ramps and tiny cliff parts cannot be walked over or cycled - In real life and other games, this wouldn't be an issue4. The game lost a lot of previous features and I miss that. Why does a multi-million buck company not produce better quality games? They have all the resources. Games like Zelda or Mario have a fraction of the income Pokemon has had. Come on Nintendo!!! Give us a better game we all know you can produce! The switch isn't being used to it's full potential!To conclude I gave it a 3/5 even though I would have been more likely to give it a 50/100 - Simply due to the game not using up the full potential Nintendo could have done with it and the switch. I am upset the game lacks drastic improvements I thought were going to be implemented, however, it's a pokemon game. If it ain't broke why improve the pokemon community?Meh, good game. Not great :(",3,POKEMON,AMAZON,3,8,2020,Royaume-Uni
"I love this game great graphics and some amazing animations, this is the first game in the franchise other than my first pokemon game ( emerald)  that made me cry at the intro ( getting you starter) with excitement at how good it felt,  I especially love dynamaxing my pokemon.  As for the new pokemon I like them thought there doesn't seem to be as many as in some other games, including galar forms which I love and I am glad regional variants stayed.  The things I don't like about this game are,  some of the animations feel lazy,  like double kick the pokemon literally just moves up and down still in its idle animation not even its attack animation plays.  The lack of a National dex botheres me but I can understand that it would be a lot of extra work to make new models and animations for all 700+ pokemon but it still could have been added at a later date.  Overall a good pokemon game that's a must buy for any pokemon fan :)",5,POKEMON,AMAZON,22,2,2020,Royaume-Uni
Really good game for a Pokémon fam.awesome game!,5,POKEMON,AMAZON,14,7,2022,Inde
If you like Pokemon you should definitely buy this.,5,POKEMON,AMAZON,9,7,2022,Inde
