Content,Stars,titre,origine,jour,mois,année,Pays
"ce jeu est d'enfer pour les enfants. Ils s'éclatent tout simplement. Pas toujours évident tout de même il faut faire plusieurs fois les courses pour arriver à bien mannoeuvrer le volant mais une fois que l'on a le volant bien en main ca file, ca roule et on s'amuse.",4,MARIO KART 8 DELUXE,AMAZON,7,1,2012,France
"je recherchais ce produit pour un cadeau, l enfant pour qui je l ai acheté été ravi donc moi aussi",5,MARIO KART 8 DELUXE,AMAZON,11,9,2018,France
"Indémodable, furieux, facétieux... De grande bataille de kart en perspective... Même si mon fils de six ans me met des déculottées respectables... ;-)",5,MARIO KART 8 DELUXE,AMAZON,24,1,2018,France
"J'adore ce jeu pour wii!J'y joue très souvent à plusieurs, je m'éclatemême seule c'est très marrant.je recommande",4,MARIO KART 8 DELUXE,AMAZON,25,11,2014,France
ExcellentOn adore y jouer à plusieurs,5,MARIO KART 8 DELUXE,AMAZON,2,11,2019,France
"Bonjour, j’ai acheté cet article avec le vendeur gamer41 . Quelle déception ! Mon article est arrivé avec seulement le jeu et non le volant. De ce fait je contacte le vendeur Qui me répond de manière très arrogante, et m’a insulté en me conseillant de retourner à l’école ! Or si je ne me trompe dans le titre de l’article que j’ai acheté est bien mentionné jeu et volant.  Très très déçu car c’est la première fois que cela m’arrive de me faire aussi mal parlé. Je vous déconseille le vendeur  Gamer41.",1,MARIO KART 8 DELUXE,AMAZON,12,9,2018,France
"Jeu conforme à sa réputation.  Pour les longues journée d'hiver on peu tous s'amuser en famille, on voit pas le temps passer. Utilisation très simple, graphisme sympa.a recommander sans hésitation",4,MARIO KART 8 DELUXE,AMAZON,1,2,2013,France
mais problème de fabrication (?) avec impossibilité de lire le disque après 2 utilisations. Retour/échange très rapide comme d'habitude  avec amazon. Celui nouvellement reçu ne pose aucun problème...,4,MARIO KART 8 DELUXE,AMAZON,10,7,2013,France
"Le jeu est très bon, les circuits variés et le choix du personnage est fort complet! La possibilité de débloquer les courses en mode miroir (en sens inverse) est géniale pour nous qui connaissons les circuits depuis un bail. Entre amis ou dans la famille, on se fend la poire toujours autant, une sorte d'esprit de compétition s'installe pour la 1ère place !Je le recommande à tous, un chef d'oeuvre.",5,MARIO KART 8 DELUXE,AMAZON,6,7,2010,France
Le jeux de ma fille le jeux des enfants le jeux des plus grands . Un classique ce Mario pas decu,4,MARIO KART 8 DELUXE,AMAZON,15,6,2014,France
"mon fils de 3 ans et demi ne peut plus s'en passer de jouer a ce jeux, j'ai du lui enterdire de l'utiliser pendant la semaine autrement ne pense qu'a ca",4,MARIO KART 8 DELUXE,AMAZON,30,10,2012,France
"Une valeur sûre, comme tous les jeux Mario. De l'humour, des trouvailles, le graphisme, tout est bien. A recommander sans retenu.",4,MARIO KART 8 DELUXE,AMAZON,16,1,2014,France
"on peut choisir plusieurs personnages. on peut débloquer plusieurs karts. au début il y a une cinématique de mario en train de chasser son frère luigi et c'est très drole, ensuite c'est vraiment jouable et des heures de jeu sont possible, c'est absolument magnifique voire fabuleuxmerci mario mon Dieu",5,MARIO KART 8 DELUXE,AMAZON,26,1,2013,France
excellent jeux tous et bien arrivé,5,MARIO KART 8 DELUXE,AMAZON,7,9,2019,France
Le jeu fonctionne parfaitement.,3,MARIO KART 8 DELUXE,AMAZON,4,2,2019,France
mes 2 enfants 8 et 4 ans adore. c est un jeu ou il peuvent jouer ensemble. multitudes possibilités et combinaisons,4,MARIO KART 8 DELUXE,AMAZON,12,10,2013,France
Produit Conforme à l'annonce disque un peu rayé à la réception mais fonctionne parfaitement donc RAS. Rapport qualité prix intéressant,4,MARIO KART 8 DELUXE,AMAZON,11,10,2013,France
"semblable au jeu de l'époque de sa sortie mais légèrement modifié pour la wii. Le fait de jouer avec les petits volants est un peu plus ludique qu'avec les manettes, il faut juste s'y habituer. Bien emballé comme d'habitude et reçu dans les délais.",5,MARIO KART 8 DELUXE,AMAZON,23,9,2013,France
"Tout d abord merci. Car le jeux met parvenu rapidement et il est ni quel. Ce jeux en lui même je le connaissais, il reste comme un des meilleur jeux wiii. ^^",4,MARIO KART 8 DELUXE,AMAZON,1,4,2012,France
"On a mis du temps à posséder ce jeu, mais cela vaut vraiment le coup. Jeu hyper agréable à jouer et à partager entre tous les membres de la famille. De plus, possibilité de se mesurer à d'autres par la connexion internet wifi !!!! TOP !!! Envoi rapide et bien empaqueté. Sérieux. Merci",5,MARIO KART 8 DELUXE,AMAZON,23,11,2011,France
"Très bien, correspond à mon besoin.Bien adapté pour jouer sur Nitendo DS pendant des heures.On ne s'en lasse pas.",4,MARIO KART 8 DELUXE,AMAZON,1,5,2013,France
ma fille vous remercie car elle prend plaisir à jouer avec et passe de bons moments grâce à vous. Alors merci beaucoup,4,MARIO KART 8 DELUXE,AMAZON,12,3,2013,France
Jeu  parfait pour s'amuser en famille. Les garçons comme les filles adorent. ils font la course avec le véhicule de leur choix...Et choisit également leur parcours.. Ce jeu  s'adapte des le plus jeune äge. Pas de contraite de lecture ou autres.,4,MARIO KART 8 DELUXE,AMAZON,14,1,2011,France
"très bien  beaucoup trop long à écrire,excusez moi de faire des copier coller dix huit mot c'est beaucoup trop pour moi",4,MARIO KART 8 DELUXE,AMAZON,11,1,2013,France
Trés bien pour les fans de WII et de Mario. Les enfants et les adultes se régalent. Je le recommande,4,MARIO KART 8 DELUXE,AMAZON,13,3,2013,France
"Un jeu à détenir si on a une wii, c'est bien Mario Kart, des heures d'amusement entre amis, en famille ou en réseau, n'hésitez pas vous ne le regretterez pas et il n'y a pas d'âge pour s'amuser. Merci Amazon pour votre rapidité et votre sérieux, comme d'habitude.",5,MARIO KART 8 DELUXE,AMAZON,11,6,2012,France
super jeu dont on ne se lasse pas avec le temps. Le volant inclus rend le jeu plus marrant. Les circuits sont très différents donc on ne s'ennuie pas du tout.,5,MARIO KART 8 DELUXE,AMAZON,3,5,2015,France
Ce jeu est incontournable pour tout possesseur de Wii qui a un tant soit peu affinité avec les jeux de course.,4,MARIO KART 8 DELUXE,AMAZON,12,8,2012,France
RAS,5,MARIO KART 8 DELUXE,AMAZON,21,8,2019,France
"Très bon accessoire, pour mieux encore bénéficier de la qualité du jeu. Il lui manquerai peut être un tout petit peu de réactivité en plus. A conseiller...",4,MARIO KART 8 DELUXE,AMAZON,8,1,2012,France
très bon produit pour la wiic'est un produit de la marque donc de très bonne qualité avec une bonne prise en main,5,MARIO KART 8 DELUXE,AMAZON,29,5,2016,France
C’était un cadeau pour ma petite fille,5,MARIO KART 8 DELUXE,AMAZON,28,10,2018,France
attention le produit n'est pas conforme. je viens de le recevoir et je n'ai reçu que le logiciel sans le volant . donc mauvais descriptif et photo du produit....j’espère pouvoir le retourner....,1,MARIO KART 8 DELUXE,AMAZON,11,3,2020,France
Article conforme à la description. Livraison rapide. Prix intéressant pour les 2 articles. Jeu très intéressant pour les enfants et les parents.,4,MARIO KART 8 DELUXE,AMAZON,22,4,2012,France
"un jeu ou tout le monde peut jouer et surtout qui n'a quasiment jamais de fin, je recommande pour un moment de bonne rigolade",5,MARIO KART 8 DELUXE,AMAZON,15,12,2015,France
Rien a reprocher....toujours content des articles achetés chez AMAZON......Ce jeu satisfait toute la famille totalement dans la lignée des MARIO........A quand les prochains???,4,MARIO KART 8 DELUXE,AMAZON,3,12,2011,France
Livraison rapide. Dommage que le disque ne fonctionne pas ! Il est rayé...,1,MARIO KART 8 DELUXE,AMAZON,30,12,2020,France
"jeu bien pour se distraire que l'on joue seul ou à deux. Après quelques temps c'est un peu toujours pareil, mais on s'en lasse pas !",4,MARIO KART 8 DELUXE,AMAZON,20,4,2011,France
Top,5,MARIO KART 8 DELUXE,AMAZON,7,5,2019,France
J'ai commandé ce jeu pour ma fille et elle est ravie ! Son frère aussi d'ailleurs.On peut y jouer jusqu'à quatre. Sympa pour les copains qui viennent à la maison...J'ai reçu le jeu très rapidement. Je suis bien contente de cet achat.,5,MARIO KART 8 DELUXE,AMAZON,4,2,2012,France
J'étais déjà très fan de l'ancien Mariokart et celui la est également super de chez super. En plus avec le choix plus important de courses à faire ... on ne s'en lasse pas !,5,MARIO KART 8 DELUXE,AMAZON,30,10,2013,France
"Un jeu qui réuni grands et petits mais surtout mes garçons, mes filles sont moins accros. Et pourtant habituellement mes garçons ne s'entendent pas trop mais là pour faire une course, ils sont contents d'avoir un partenaire.",4,MARIO KART 8 DELUXE,AMAZON,3,2,2010,France
"Malhonnête, il y a pourtant écrit mario kart + volant... à la réception aucun volant.",1,MARIO KART 8 DELUXE,AMAZON,6,7,2020,France
"C'est le jeu préféré de mes garçons en ce moment.Il est adapté aux plus jeunes.Les différentes pistes et les différents modes de jeu permettent d'éviter de se lasser. Il y en a vraiment pour tous les niveaux et tous les goûts.Le fait d'avoir des grands prix, des personnages et des véhicules à débloquer donne une motivation supplémentaire pour s'améliorer.",5,MARIO KART 8 DELUXE,AMAZON,25,9,2009,France
Colis livré rapidement et reçu en très bon état.Le tout fonctionne parfaitement bien.Peut se jouer seul ou à plusieurs (1 seul volant est livré mais le deuxième peur jouer avec la télécommande wii),5,MARIO KART 8 DELUXE,AMAZON,8,1,2013,France
J'ai déjà reçu ma commande !  Rapide et en bon état ! Je suis ravie je vais enfin pouvoir jouer !Remerciements pour le petit mot ca apporte une touche de personnalisationA RECOMMANDER,5,MARIO KART 8 DELUXE,AMAZON,23,5,2013,France
Conforme,5,MARIO KART 8 DELUXE,AMAZON,16,12,2018,France
Excellent,5,MARIO KART 8 DELUXE,AMAZON,7,12,2018,France
correspond au produit annoncé. arrivé dans les délais. mario reste incontournable pour les jeux en famille et avec les plus jeunes même si on s'en lasse vite.,3,MARIO KART 8 DELUXE,AMAZON,31,8,2014,France
"onjourje n ais rien a redire, qualité prix excellent , envoie par colissimo rapide , solide produit a prix tres raisonnable",1,MARIO KART 8 DELUXE,AMAZON,12,8,2019,France
"J'ai hésité par peur, et franchement je ne regrette pas du tout.De l'emballage jusqu'au jeu, tout était impeccable.Merci pour mes enfants...",5,MARIO KART 8 DELUXE,AMAZON,7,11,2014,France
"bon rapport qualité prix , j'ai aime ce produit pour sa simplicité et pratique a manier . EXCELLENT PRODUIT ; recommander a toute personne fan de WII ;",5,MARIO KART 8 DELUXE,AMAZON,1,11,2013,France
"bonjour,quel surprise que j'ai eux en ne voyent pas le volant  avec le jeux alors que c'était écris et je me perçoir du mot du vendeur qui mais jeux en version français alors ne contient pas le volant avec . le titre est un pur mensonge je ne revient pas auprès du vendeur",1,MARIO KART 8 DELUXE,AMAZON,3,3,2017,France
"trop bon Mario, trop bon Mario, trop bon Mario.... des courses avec ma fille et je m'éclate... on a dépassé PAC MAN",5,MARIO KART 8 DELUXE,AMAZON,21,10,2014,France
Il avait que le jeu et pas de manette,1,MARIO KART 8 DELUXE,AMAZON,8,12,2019,France
"Enfants ravis ...Il manque 17 mots pour valider mon commentaire, alors bla bla bla bla bla bla bla bla",5,MARIO KART 8 DELUXE,AMAZON,7,2,2015,France
a conseiller un achat adapté à la demande de mes petits enfants sans violence .je ne peu que le conseiller en achat pour pour toute la famille,5,MARIO KART 8 DELUXE,AMAZON,2,12,2012,France
Très  très bien  mon fils est content  et moi aussiPar contre il faudrait pouvoir changer de véhicule à chaque partie différenteMerci,5,MARIO KART 8 DELUXE,AMAZON,6,6,2013,France
meme les grands s'eclatent avec; d'ailleurs qui a dit qui ne devaient y avoir que les enfants qui devaient jouer avec?! A recommander pour de bonnes parties de rigolades!,5,MARIO KART 8 DELUXE,AMAZON,24,3,2013,France
qualité moyenne mais il remplis bien sa fonction. heureusement que les manettes de jeu sont un peut lourde car le volant es vraiment léger.,3,MARIO KART 8 DELUXE,AMAZON,25,11,2013,France
"Vendu sans le volant dans les occasions, ce produit reste un produit phare qui intéressent petits et grands. Avons acheté le volant à part mais on peut s'en passer.",5,MARIO KART 8 DELUXE,AMAZON,11,1,2013,France
Commandé pour ma petite fille pour ses 12 ans. Livraison rapide.Correspond parfaitement à ses souhaits.Jeu très ludique et adapté à son âge.,5,MARIO KART 8 DELUXE,AMAZON,12,12,2013,France
recu dans les temp tres bon jeu un bon passe en temp en famille a recomander pour passer les dimanche ou les soiree plus vite,5,MARIO KART 8 DELUXE,AMAZON,26,9,2013,France
très bien pour toute la famille ..un produit phare de Nintendo toujours agréable a découvrir  pour les petits et les plus grands,5,MARIO KART 8 DELUXE,AMAZON,3,2,2014,France
"Ce produit a fait le bonheur de mon neveu. Produit nickel, livré rapidement, je suis très satisfaite de cet achat. Je recommande.",5,MARIO KART 8 DELUXE,AMAZON,7,4,2014,France
"Le produit est parfait pour la famille et les soirées entre amis, le prix est moins cher qu'en grandes surfaces et avec la livraison gratuite plus besoin de se déplacer. Je ne regrette pas du tout mon achat.Je le recommande",5,MARIO KART 8 DELUXE,AMAZON,11,1,2011,France
Ce volant marche très bien il es super maniable  il a une bonne  prise en main support rapport qualité prix,5,MARIO KART 8 DELUXE,AMAZON,24,11,2013,France
"Super jeu pour jouer en famille, très addictif, aussi bien fait pour les jeunes et les moins jeunes, je le conseille",5,MARIO KART 8 DELUXE,AMAZON,16,4,2014,France
"Le jeu est vraiment topCollectif, Individuel ou en reseau c'est génialEn famille ou entre amisJe recommande à 200%",5,MARIO KART 8 DELUXE,AMAZON,20,1,2014,France
"le produit est conforme, très bon rapport qualité prix et a été livrée rapidement. Que demander de plus ? Je recommande.",5,MARIO KART 8 DELUXE,AMAZON,31,12,2013,France
"le produit est bel et bien conforme à la description. le délais de livraison respecté, produit de bonne qualité . de belles rigolades en famille",5,MARIO KART 8 DELUXE,AMAZON,17,3,2013,France
C'est le must du jeu familial. A avoir chez soit absolument même si vous êtes novice. Des heures de rires garanties en famille.,5,MARIO KART 8 DELUXE,AMAZON,8,5,2013,France
disque légèrement rayé mais le cd marche et boite du cd est en bon état mais il n'y a pas de volant,3,MARIO KART 8 DELUXE,AMAZON,8,6,2013,France
"Rien de nouveau sous le soleil : des circuits qu'on connaît, des sons usés déjà entendus sur DS (et peut-être encore avant ?).Mais branchez la Wii, mettez les gamins devant avec ou sans le volant et vous obtenez des heures de jeux pour des jeunes pour lesquels ce manque d'originalité n'est pas important. Le jeu est addictif, ou tout simplement amusant.Bien joué Nintendo !",3,MARIO KART 8 DELUXE,AMAZON,25,5,2010,France
volant manquant seul le jeu était dans le colis,1,MARIO KART 8 DELUXE,AMAZON,24,2,2019,France
super volant ras //////// //////// ///////// /////////// /////////// ////////// ///////// /////////// //////////// /////////// /////////// //////////// /////////////// //////////// //////////// /////////// ////////////,5,MARIO KART 8 DELUXE,AMAZON,6,10,2013,France
"très bonne jouabilité, beaux graphismes indispensable!dommage qu'il manque les objets spéciaux ( comme sur MK Game Cube)à recommander",5,MARIO KART 8 DELUXE,AMAZON,25,9,2013,France
"ce jeu est un classique de la wii maintenant! rien à redire, jouabilité adapté aux enfants, les grands prennent aussi plaisir à y jouer!",5,MARIO KART 8 DELUXE,AMAZON,14,12,2012,France
Mario kart est super on peut joué et rejoué il faut débloquer tout c'est très bien compliqué par fois mais très bien.,5,MARIO KART 8 DELUXE,AMAZON,1,5,2013,France
Mario attire toujours autant mes petits enfants qui font des parties de plus en plus passionnantes pour battre leur propre record,5,MARIO KART 8 DELUXE,AMAZON,8,7,2013,France
Bon produitil repond à mes attentes.Je recommande cet articleAcheter sans hésiter ce article qui va satsfaire tout le monde,5,MARIO KART 8 DELUXE,AMAZON,25,4,2013,France
"je recommande , beau produit,  pas cher, rapide , tres beau cadeau  à offrir ou s'offrir, je conseille aux autres",5,MARIO KART 8 DELUXE,AMAZON,8,2,2013,France
Jeu indispensable et incontournable à avoir dans un premier temps pour de folles courses en famille ou seul sur de nombreux circuits.,5,MARIO KART 8 DELUXE,AMAZON,5,2,2013,France
"jeu wii mario kart tout à fait conforme à mes attentes, bonne réception, produit en très bon état, pas de soucis",5,MARIO KART 8 DELUXE,AMAZON,5,4,2013,France
"Disque illisible car couvert de rayures !Comment peux revendre un jeux en si mauvaise état.Et contrairement au titre, pas de volant.D'après le vendeur c'est précisé dans le descriptif, pas très correct.",1,MARIO KART 8 DELUXE,AMAZON,18,8,2017,France
Amuse grands et petits très rigolo et très maniable avec les volants inclus c'est encore plus facile.Je recomande ce jeu sans problème vous ne serez pas deçus.Bon jeu.,5,MARIO KART 8 DELUXE,AMAZON,1,12,2011,France
"avec notre fils de 3 , nous passons des moments très agréables à jouer... avec le volant, c'est facile pour lui et il a très vite compris!",5,MARIO KART 8 DELUXE,AMAZON,14,1,2012,France
très beau produit....................très beau produit.....très beau produit....................très beau produit...très beau produit....................très beau produit....très beau produit....................très beau produit....très beau produit....................très beau produit,5,MARIO KART 8 DELUXE,AMAZON,9,3,2013,France
"Bonjour,Ce jeu est super j'y passe de bon moment seul ou avec mes enfants donc je le recommande très fortement.",5,MARIO KART 8 DELUXE,AMAZON,2,3,2013,France
C'est très bien!Idéal pour délirer en famille et avec des personnes de tout âge.C'est mon jeu de Mario préférer,5,MARIO KART 8 DELUXE,AMAZON,19,2,2013,France
"j'ai commander mon jeux qui devais être compris d'un volant , et en le recevant j'ai eu que le jeux de mario",2,MARIO KART 8 DELUXE,AMAZON,7,2,2016,France
le jeu est très amusant et super! Il est arrivé en perfait conditions et je l'ai testé avec mes amis dans un trés amusant aprèmidi!,5,MARIO KART 8 DELUXE,AMAZON,11,4,2012,France
Ce jeu est vraiment super quand on est entre amis et/ou famille. Parfait pour ceux qui aiment la compétition! Je le conseille vivement.,5,MARIO KART 8 DELUXE,AMAZON,7,8,2012,France
"un mario kart jouable jusqu'à 12 en ligne , des personnages et des véhicules à débloquer , bref!des heures de jeux",5,MARIO KART 8 DELUXE,AMAZON,26,12,2012,France
"Jadore ce jeu, même si je suis souvent dans le ravin HIHIHI.. je le recommande pour des bonnes parties de rigolades",5,MARIO KART 8 DELUXE,AMAZON,18,12,2012,France
Mes enfants aiment jouer mario kart sur le WII. La combination du dvd et volant dans un pacquet est interessant.,5,MARIO KART 8 DELUXE,AMAZON,12,1,2013,France
j ai commandé ce jeu pour ma fille vendu avec le volant quand j ai reçu le jeu il n y avait pas de volant et le vendeur par e-mail ma sitpulé que dans l annonce  le jeu etait vendu sans volant. Chercher l erreur !!,1,MARIO KART 8 DELUXE,AMAZON,28,7,2016,France
"Jeu assez sympa dans l'ensemble, mais les commandes ne sont pas assez précises, et les graphiques sont basiques, et surtout le jeu est trop speed.Au bout d'une heure de jeu, j'avais les yeux qui couraient après les bolides!!!",3,MARIO KART 8 DELUXE,AMAZON,13,6,2011,France
Annonce trompeuse! Le volant n'était pas compris dans la vente alors que la désignation de l'article était Mario Kart Wii + volant wii!,1,MARIO KART 8 DELUXE,AMAZON,8,12,2017,France
"Nous avons bien reçu le jeu mais l'intitulé de l'annonce n'était pas conforme, ils disaient Mario Kart wii + volant wii Wheel. Or il s'avère que le volant n'était pas compris. L'annonce était donc malhonnête ou mal formulée (exprès???). C'est la 1ère fois avec Amazone que nous sommes déçus par la prestation.",2,MARIO KART 8 DELUXE,AMAZON,24,5,2013,France
