review,score,titre,origine,date
"Étant un fan inconditionnel de la série Animal Crossing, je ne peux qu'être désespéré à l'idée de voir le tournant que la série a pris.J'ai été très heureux durant le tout premier trailer en 2019 et au final, j'en ressors très déçu.J'ai eu le jeu le 20 Mars, j'y ai joué jusqu'à début Mai pour au final, ne plus jamais le relancer... Et ça m'a fait un bien fou de ne plus le relancer.Points positifs :• Graphiquement, le jeu est magnifique. C'est parfait.• Le terraforming• La décoration de l'île• Les recettes de craft• De nombreux vêtements• Les petits détails matériels apportés aux habitants qui paraissent plus vivants, mais aussi à l'île tel que le vent venant balayé les feuilles ou encore les gouttelettes de pluie ruisselant sur les feuilles.Points négatifs :• Un des éléments principal du jeu : le craft. Là où le craft aurait dû être le gros point fort du jeu, on se retrouve finalement avec un système de craft très dépassé, qui n'a même jamais existé dans un jeu vidéo tant il est peu ergonomique et nous pousse à marteler le bouton A afin d'essayer d'aller plus vite. Impossible de crafter plusieurs objets à la fois, impossible d'avoir accès à notre stock depuis l'établi... Le joueur est forcé de tout faire un par un, c'est inadmissible.• Le terraforming, je le mets aussi en point négatif car il est très mal foutu. C'est de l'approximation à l'état pur car il est impossible d'être précis en se déplaçant au stick et avec la pelle. Ils auraient dû implanter un système de map en vue du dessus, case par case, permettant une refonte propre et précise. Aussi, il est impossible de créer des angles, tout est en mode ""pixel art 3D"". Les motifs ne peuvent pas se coller aux bordures des rivières/étangs/ponts donc le joueur se retrouve forcément avec des lignes d'herbes bien dégueulasse qui cassent tout.• Par rapport à New Leaf, le catalogue des meubles a perdu plus de 500 objets, dont des séries de meubles très populaires. Adieu la série royale, rococo, nintendo, négligée, minimaliste, rayure, nordique et j'en passe. C'est une régression inadmissible, surtout quand un jeu 3DS fait mieux qu'un jeu Switch à ce niveau... Sans oublier que New Horizons s'est volontairement dirigé vers un jeu mêlant décoration de l'île et craft. À quoi ça sert si plus de 500 meubles ont été retirés du jeu ?• En parlant de décoration, la maison du joueur a aussi vu sa taille rétrécir puisque dans New Horizons, le joueur possède une pièce principale en 8x8, trois pièces adjacentes en 6x6 et 2 pièces aux étages en 6x10. Sur les anciens opus, les pièces de la maison étaient toutes en 8x8. C'est donc une perte de 92 cases (si j'ai bien compté), comme s'il y avait environ une pièce et demi en moins dans la maison. C'est inexcusable.• Les dialogues des habitants se répètent tous, ils n'ont plus aucune personnalité. Il suffit de leur parler plusieurs fois par jour pour constater qu'ils disent à peu près tous la même chose. D'ailleurs, pourquoi les habitantes arrogantes sont aussi gentilles ?Sans oublier Marie qui est inutile et chiante avec ses annonces à chaque lancement de la partie, pour nous dire qu'elle a bu du jus de chaussette hier soir.• La casse des outils est la pire idée du monde, c'est affreux de devoir refaire des allers-retours constant afin d'en recrafter/racheter. Les outils en or ne sont même pas incassables, à quoi servent-ils si ce n'est nous faire dépenser des pépites d'or ?• L'OST médiocre, c'est dur de passer de Wild World et New Leaf à ça.• Trop de PNJ manquants, trop d'événements qui ne servent à rien et nous poussent simplement à prendre des photos inutiles, le système Nook Miles qui devient très lourd à force avec un smartphone très toxique et intrusif (comme dans la vie réelle, le comble pour un jeu Animal Crossing), des îles mystères chiantes, des mini-jeux inexistants, un online vide, désastreux et qui date d'une autre époque (impossible d'avoir accès au stock et à la banque), les recettes de craft qui ne sont pas stockables et reviennent souvent en double, triple, quadruple... Sans oublier le vide du magasin M&M avec les mêmes meubles qui apparaissent, la cabine d'essayage des SDDF qui nous empêchent d'acheter plusieurs hauts ou plusieurs bas à la fois...Je vais m'arrêter là car il y a une limite de caractères, j'aurai encore beaucoup de critiques à faire mais l'essentiel est résumé.Nintendo s'est tourné vers une politique du jeu en kit. Peut-être que les futurs mises à jours effaceront certains défauts et je l'espère mais en l'état, le jeu ne vaut pas plus que la moyenne.",6,ACNH,AMAZON,2020-08-23
"Correct, comme espéré.",8,ACNH,AMAZON,2023-01-22
"Aucun souci, mon fils de 7 ans adore",10,ACNH,AMAZON,2023-01-22
"Comme beaucoup d'enfants rien à dire sur ce jeu, ma fille en est ravie",10,ACNH,AMAZON,2023-01-17
Ce jeu Nintendo est pour tout âges et il est officiel Nintendo.Le jeu ne se termine pas du jour au lendemainDonc la longévité est juste top.On apprend à construire une île avec des habitants mettre de la végétationDe la récolte de la vente en bref de quoi s’amuser pendant des heures.Je recommande ce jeu pour tous.,10,ACNH,AMAZON,2022-12-04
Conforme,8,ACNH,AMAZON,2023-01-15
"Très bon jeu mon fils adore, bonne idée cadeau je conseille",10,ACNH,AMAZON,2023-01-15
Jeu qui a le plus plu à mes filles de 9 et 5 ans parmi les jeux switch.,10,ACNH,AMAZON,2023-01-09
Hâte pour la prochaine maj,10,ACNH,AMAZON,2023-01-15
"Jeu reçu très vite et dans sa boîte, rien à dire de plus ☺️",10,ACNH,AMAZON,2023-01-08
Pour glandouiller le dimanche aprem c'est parfait,10,ACNH,AMAZON,2023-01-11
"super nickel le jeu je ne l'ai pas encore déballé mais je l'ai juste ouvert pour vérifier la cartouche car il y'a des des gens qui on eu des boite vides alors j'ai préférer vérifier , et tout est excellent merci encore Amazon!",10,ACNH,AMAZON,2022-12-09
ayant des fans à la maison ....très bien les enfants sont très contentcommandée deux fois !,10,ACNH,AMAZON,2022-12-28
"j'ai 300h de jeu, ca veut tout dire",10,ACNH,AMAZON,2023-01-06
Conforme,8,ACNH,AMAZON,2022-12-17
C'est pour ce jeux que j'ai craqué pour une switch.Impossible de passer à côté.Autant pour les enfants que pour les grands enfants.,10,ACNH,AMAZON,2022-12-14
Je l ai cherché partout ..a plus .. alors merci amazone grâce à vous un petit garçon à aimé votre livraison d un jeu tant attendu !,10,ACNH,AMAZON,2022-12-08
"un classique pour ce style de console,",10,ACNH,AMAZON,2022-12-30
Des centaines d'heures de jeu pour les enfantsUn achat obligatoire pour les possesseurs de Switch,10,ACNH,AMAZON,2022-12-19
Je ne pensais pas mais il n'y a pas d'âge pour ce jeu. Avec ma compagne on se régale d'y jouer un petit peu tous les jours,10,ACNH,AMAZON,2022-12-07
MON FILS ADORE JE RECOMMANDE,10,ACNH,AMAZON,2022-12-26
super jeu pour les parents et les enfants,10,ACNH,AMAZON,2022-12-25
"Rien à redire quant au jeu et à sa qualité.Colis reçu en très bon état, produit intact encore sous blister.",10,ACNH,AMAZON,2022-12-12
Conforme,10,ACNH,AMAZON,2022-12-29
Cadeau d'anniversaire,8,ACNH,AMAZON,2022-12-03
"Conforme à ce qui est présenté, fonctionne correctement.",10,ACNH,AMAZON,2022-12-20
"super bon jeu. je conseil, on s'ennuie pas",10,ACNH,AMAZON,2022-12-18
Jeux nickelLivraison nickel,10,ACNH,AMAZON,2022-12-21
"Fan d'Animal Crossing, je ne pouvais qu'aimer 👍🏻",10,ACNH,AMAZON,2022-12-14
Jeu sympa mais je trouve qu'un s'ennuie vite,10,ACNH,AMAZON,2022-12-13
"Je suis une très grande fan de la licence Animal Crossing et cette version offre beaucoup d'opportunités pour la décoration, le développement de la créativité. Une vraie pépite pour tous les âges !",10,ACNH,AMAZON,2022-11-15
"Le produit multimédia n'a pas pu être chargé.Que dire de plus  sur ce jeu  ultra célèbre qu'est  animal crossing .J'ai  eu la chance d'avoir la première version sortie le 15  septembre 2004, le jour de sa sortie en france  si mes souvenirs  sont bons et depuis je les ai tous eu(sauf home designer qui est à  part) et dernièrement  acheté de nouveau sur Amazon  le wild world  sur 3ds  et new leaf. J'avais déjà  acheté  celui-ci  en mai 2020 mais je l'ai  offert dernièrement et me suis achetée de nouveau une version sur Amazon. moins chère en plus.Je vais plutôt énumérer ce que j'aurais aimé y retrouver  dans celui-ci  sans toutefois dénigrer le titre que j'adore dans son ensemble car à  l'époque nous n'avions pas la chance d'avoir des mises à  jour.  Le jeu était complet et rien de plus , pas de pass en ligne etc.J'aurais  aimé  y retrouver le café de Robusto(peut etre un jour), Elisabec la postière et Antoine  postier aussi. Également  plusieurs magasins ainsi que la coiffeuse Ginette  et bien  d'autres.  Avoir plus de fruits , ce sont toujours  les mêmes depuis 2004, des légumes à récolter.  Il y a beaucoup d'améliorations bien sûr  que vous découvrirez avec plaisir , avec le remod'ile  , l'établi pour fabriquer des meubles etc mais avec la technologie  d'aujourd'hui,  les mises à  jour, nous sommes toujours  en attente des personnages qui nous manquent,  des voisins etc.. Sinon animal  crossing  est un jeu de simulation  de vie le meilleur de la switch,  de Nintendo dailleurs  qui plaît autant aux adultes ( voir  plus) qu'aux  enfants.  Je l'adore.",10,ACNH,AMAZON,2021-04-26
Je trouve que se jeu est cher par raport a son fonctionnement. Je trouve que la valeur de ce jeu est de 31 euros est 16 centime. En dehors de sa j ai toujours appréciée ce jeu car c'est un jeu mignon avec des petit personnage pour une fois que ce n'est pas un jeu violent. 5 étoiles pour ce jeu !,10,ACNH,AMAZON,2022-10-09
Top,10,ACNH,AMAZON,2022-12-18
parfait,10,ACNH,AMAZON,2022-12-16
Mon fils a l'air d'aimer donc je valide,10,ACNH,AMAZON,2022-11-30
A la demande de ma fille qui est très contente du jeux,10,ACNH,AMAZON,2022-11-25
"je prenant en temps réel, rien ne presse, très longue durée de vie,",10,ACNH,AMAZON,2022-11-23
La famille est ravie,10,ACNH,AMAZON,2022-12-02
Comme toujours ce jeu est au top peut importe les années !,10,ACNH,AMAZON,2022-11-21
Vivement le 25 pour Noël.....,10,ACNH,AMAZON,2022-11-24
Article conforme,10,ACNH,AMAZON,2022-11-28
"Livraison reçu en temps et en heure, bien que le livreur n'est pas l'air de savoir organisé son chemin de livraison 😅Produit neuf et conforme acheter au prix de l'occasion, rien à signaler, fonctionnel 😊Pour ceux qui douterait du jeux, sachez qu'il n'y a pas de meilleur Animal Crossing sur celui-ci ! 🙀Des tas de fonctionnalités amusante un mode multijoueur qui ravira vos journées ou vos soirées ! 👌🏼Cependant il faut le dire plus vous jouez et plus approchée inévitablement de la fin, non pas du jeux car en soit ce genre de jeux n'a pas de fin, mais de la fin de votre engouement car une fois que vous aurez tout eu ou quasiment, et que vous aurez fait votre île a l'image que vous vouliez eh bien ... Le jeux sera tellement ennuyant que vous n'aurai plus vraiment envie de jouer 😓Bien entendu vous vous dites ""mais ...et si je faisait une nouvelle îles ?!"" ...C'est à ce moment précis que Nintendo viens brisé vos doux rêve car là où il était possible de créé plusieurs îles avant sur cette version du jeux vous n'aurez droit qu'à une seule île ... Par console !! 😓🥺Ne vous laissant que peu de choix, ou vous rasé la totalité de votre travail sur le jeux ou vous achetez une nouvelles console .. pour les plus riche d'entre nous cela ne les freinera pas, mais pour les plus petite gens, on ne peux hélas pas acheter plus de Switch sous prétexte que Nintendo a fait n'importe quoi 😓Ce jeux reste néanmoins magnifique 💯",10,ACNH,AMAZON,2020-11-25
Un peu lassant à la longue mais super jeu ! Arrivée niquel et aucun problème à signaler :),8,ACNH,AMAZON,2022-10-17
La boîte de jeu est arrivé en parfait état simplement déçu de la qualité du jeu en lui même ...,6,ACNH,AMAZON,2023-02-06
Mon fils l’attendait depuis quelques moisIl a été ravi de son cadeau,10,ACNH,AMAZON,2022-11-09
Un jeu qui peut plaire aux petits comme aux grands,10,ACNH,AMAZON,2022-11-08
Ras,10,ACNH,AMAZON,2022-11-21
"Acheté pour un cadeau à un enfant, quelle déception quand après avoir descellé le boitier la boite était vide !!J'ai contacté Nintendo qui se retranche derrière le fait que chaque boite est pesée en fin de chaine et qu'il est impossible que ce cas arrive... Travaillant dans l'industrie, le nombre de choses impossibles devenues possibles sont incalculables !!Enfin bref, ""0 pointé"" pour Nintendo est 20/20 au service client Amazon qui à pris le temps de m'écouter et de m'effectuer le renvoi d'un nouvel article ! Incident diplomatique familial évité de justesse !",10,ACNH,AMAZON,2022-06-15
Bon jeu,8,ACNH,AMAZON,2022-10-11
"Livré très rapidement. J'adore ce jeu ! un jeu incontournable et indémodable :) je suis ravie de cette achat. Si vous êtes fan de cette licence, foncez.. il est parfait.",10,ACNH,AMAZON,2022-09-24
C'est-un très bon jeux je conseille pour tout âge,10,ACNH,AMAZON,2022-11-03
Livraison rapide et satisfait du produit,10,ACNH,AMAZON,2022-10-30
Le jeu en lui même est intéressant mais à la longue si vous n'avez pas l'abonnement à Nintendo switch online vous pourrez pas évoluer rapidement ce qui est dommage c'est pour cela que je met que 4 étoiles,8,ACNH,AMAZON,2022-07-25
Super produit,10,ACNH,AMAZON,2022-11-04
Super jeu correspond bien à l’annonce,10,ACNH,AMAZON,2022-10-20
Il s’agit d’un très bon jeu! Il est très divertissant ! Je n’ai rien à dire d’autre si ce n’est que je vous le recommande vraiment,10,ACNH,AMAZON,2022-09-11
très bien et moins cher qu'en magasin !,10,ACNH,AMAZON,2022-10-10
Bien,10,ACNH,AMAZON,2022-10-30
Bon jeu,10,ACNH,AMAZON,2022-10-20
"Une boite de jeu pour NINTENDO switch, avec à l'intérieur Animal Crossing.Il y a bien à l'intérieur une cartouche de jeu.Un jeu conforme à l'attente et fonctionne très bien.à 44.49€ actuelle en promotionc'est un excellent rapport qualité prix.",10,ACNH,AMAZON,2022-08-16
Acheté pour un cadeau d’une fillette de 8 ans.Ce type de jeu permet de développer la lecture car l’essentiel des tâches passe par des bulles. Attention donc à ce point (si votre enfant n’aime pas lire il n’aura pas le choix pour aimer le jeu)L’univers est sympa et le jeu a une durée de vie presque illimitée.Un must have,10,ACNH,AMAZON,2022-06-02
Ce jeu est vraiment cool. Je le recommande vivement.,10,ACNH,AMAZON,2022-09-16
Les personnages sont rigolo il faut tout de même maîtriser la lecture pour pouvoir avancer dans le jeux.,10,ACNH,AMAZON,2022-08-28
recus ce jour conforme toutest ok,10,ACNH,AMAZON,2022-09-14
RAS,10,ACNH,AMAZON,2022-09-28
Bien reçu et correspond à la description,10,ACNH,AMAZON,2022-09-04
Très bon jeu pour les enfants et les grands adultes,10,ACNH,AMAZON,2022-08-28
Un jeux qui rappelle des souvenirs d’enfance 🫶,10,ACNH,AMAZON,2022-08-29
Conforme.,10,ACNH,AMAZON,2022-09-17
"Un must des jeux Nintendo, qui peux paraître lourd mais qui est au final hyper additif !Vous passez des heures sur ce jeu sans vous en rendre compte tellement il y a de choses a faire, des mission a accomplir, des choses a voir etc... il faut aimer chercher, s'organiser pour arriver à construire quelqchose de bien dans ce jeu ! Chaque choix peut être décisifs ! ( le temps dans le jeu s'ecoule comme dans la vraie vie : pour faire pousser une fleur il vous faudra 4 jours par exemple voir plus, il vous faudra donc de la patiente !)Le seul point négatif pour moi ce sont les dialogues, les écrans de chargements et les intertactions qui sont un chouilla trops longues, ce qui peut devenir agacant au bout de 2h00 de jeu !A part ça, le jeu est génial !",10,ACNH,AMAZON,2021-02-18
"En route pour de nouvelles aventures Animal Crossing !Le jeu ressemble beaucoup aux versions précédentes, mais bien sûr avec des variantes et des nouveautés !L'objectif du jeu est de démarrer une nouvelle vie sur une île paradisiaque à choisir soit dans l'hémisphère Nord, soit dans l'hémisphère Sud.Pour cela, tout est bâtir comme d'habitude en fabriquant des outils, des meubles, des objets.....On retrouve la pêche, la vente et l'achat d'objets, le musée. ..Les décors changent en fonction des saisons. Très sympa, beaucoup d'échanges, d'interactions avec les autres habitants. Les phrases et jeux de mots sont toujours aussi drôles.Jeu possible en local et en ligne. 8 joueurs peuvent se retrouver en même temps sur une île et 4 joueurs peuvent jouer ensemble sur un même écran.Attention, une seule île peut être créée par console.A acheter les yeux fermés, pour un agréable moment de détente.",10,ACNH,AMAZON,2021-01-23
"Acheter à la base pour les 7 ans de ma fille... Ben je crois que j'y jour plus qu'elle !!!C'est un jeu qui détend.On part de zéro (sur une île déserte) et on crée une communauté, tout en apprenant la simplicité de la vie, l'échange, l'entraide... On construit ses outils, des habitations, on pêche, on plonge, ou récolte ....Je recommande totalement !!!Ma fille y joue souvent et quand elle n'y joue pas c'est moi !!!C'est un bon jeu aussi bien pour les enfants que pour les adultes histoire de décompresser de la vie !!!",10,ACNH,AMAZON,2021-09-18
Bon jeux,8,ACNH,AMAZON,2022-06-28
"Jeu offert pour ma fille de 8 ans.Pour commencer il faut choisir un personnage puis une île. Les premières missions sont : rembourser sa dette pour l'installation, trouver des poissons/insectes pour faire venir le hibou ... pour cela il faut construire des outils, ramasser des matériaux ....Je trouve l'histoire super pour ma fille , et cela lui apprend à prendre le temps, observer ... mais il a quand même pas mal de choses à maîtriser pour y jouer correctement. 8 ans me parait une âge minimum. (plusieurs boutons à maîtriser, plusieurs concepts de stockage et missions etc...).Le paysage est très agréable et on prend plaisir à ce balader dans le jeu, à pêcher et découvrir de nouvelles espèces de poissons et insectes.Un jeu autour de la nature ce qui est une bonne chose en ce moment. Qui plait autant à ma fille de 8 ans qu'à moi 34 ans.",10,ACNH,AMAZON,2020-07-06
Super j’aime beaucoup pour mon petit fils merci pas déçue,10,ACNH,AMAZON,2022-08-04
Ce jeux est parfait pour chill seul ou a plusieursMalgré qu'il n'y a plus le confinement c'est toujours une joie d'y jouer en periode d'été comme d'hiver,10,ACNH,AMAZON,2022-06-25
"N’étant de base pas un joueur de ce type de jeu, je l’ai trouvé vraiment sympas, je l’ai farm jusqu’à la easter maj qui m’a plutôt déçu et qui m’a fait malheureusement décrocher du jeu, je n’y ai plus joué depuis. Malgré ça, j’ai suivi son évolution, il a depuis eu d’autres maj et de l’ajout de contenu in game. Obligé de reconnaître le phénomène qu’est cet opus de la saga Animal crossing au sein de l’univers video ludique. Un super jeu si vous êtes déjà fan de la série et une possible très bonne découverte si ce n’est pas votre cas. À noter que si vous accrochez au jeu il va vite devenir chronophage.",8,ACNH,AMAZON,2021-03-17
"Animal Crossing est un super jeu qui a extrêmement bien évolué comparé à sa première version sur la DS tout en restant très fiable à celle-ci. Le jeu offre énormément d'opportunités et de choses à faire (plongée sous-marine, modifiée complètement son île en créant des falaises... ect). Je suis extrêmement satisfaite de mon achat.",10,ACNH,AMAZON,2022-04-03
Mon fils aime bien,10,ACNH,AMAZON,2022-08-14
"Pour ma part, le meilleur jeu chill sur switchPoint négatif : ce jeu peut entraîner une dépendance.Vous voilà avertis :)",10,ACNH,AMAZON,2022-06-27
C'est amusant,10,ACNH,AMAZON,2022-08-13
Reçu rapidement et correctement. Je suis ravie 👍,10,ACNH,AMAZON,2022-07-24
"Très bon jeu pour passer le temps sans s'énerver, en temps réel donc ça ne sert à rien de se presser, quand on vous dit que la construction sera finie ""demain"" c'est le même ""demain"" que dans la réalité, rien à faire pour aller + vite (genre payer comme dans les jeux ""free to play""). Le cycle jour/nuit est aussi calé sur la réalité.Je retire juste une étoile pour l'absence de gestion de la sauvegarde dans le cloud, donc s'il y a un problème de bug ou de vol de la console, vous perdez TOUT : des centaines voire des milliers d'heures de farming... très frustrant, ça nous ramène au moyen-âge vidéoludique, merci Nintendo. S'il y a a bien un genre de jeu qui nécessite une sécurité de sauvegarde c'est celui-là, c'est pas un Mario Bros.D'autant + que cette absence de cloud vous interdit de passer de votre Switch normale à votre Lite (si vous avez les 2) pour continuer votre partie en nomade en mode ""léger"".",8,ACNH,AMAZON,2020-03-26
"Precommandé avant sa sortie le 20 mars 2020, et reçu très rapidement le 21 mars 2020, merci Amazon ☺.En route pour de nouvelles aventures Animal Crossing !Le jeu ressemble beaucoup aux versions précédentes, mais bien sûr avec des variantes et des nouveautés !L'objectif du jeu est de démarrer une nouvelle vie sur une île paradisiaque à choisir soit dans l'hémisphère Nord, soit dans l'hémisphère Sud.Pour cela, tout est bâtir comme d'habitude en fabriquant des outils, des meubles, des objets.....On retrouve la pêche, la vente et l'achat d'objets, le musée. ..Les décors changent en fonction des saisons. Très sympa, beaucoup d'échanges, d'interactions avec les autres habitants.  Les phrases et jeux de mots sont toujours aussi drôles.Jeu possible en local et en ligne. 8 joueurs peuvent se retrouver en même temps sur une île et 4 joueurs peuvent jouer ensemble sur un même écran.Attention, une seule île peut être créée par console.A acheter les yeux fermés, pour un agréable moment de détente.",10,ACNH,AMAZON,2020-03-22
Enfin un jeu pour les petits et grands.On se prend vite au jeu.,10,ACNH,AMAZON,2022-06-27
Jeux onéreux pour ce qu'il sert. Mon fils s'est vite lassé... déçue,10,ACNH,AMAZON,2022-06-29
"Jeu intéressant, fonctionne parfaitement bien. Légèrement addictif. Les graphismes auraient pu être légèrement mieux travaillés.Jeu pas adapté à des petits enfants (4-5 ans) selon moi, car même si on peut leur lire les textes, les déplacements / mouvements nécessitent d’être assez précis (par exemple : pour rentrer dans une tente il faut vraiment être pile en face, pour pêcher il faut être assez réactif en appuyant rapidement sur le bouton quand le poisson mord à l’hameçon), ce qui n’est pas forcément le cas pour tous les enfants et notamment s’ils n’ont jamais joués à la console.",10,ACNH,AMAZON,2021-05-19
Ras,10,ACNH,AMAZON,2022-08-03
"Très bon jeu mais qui nécessite de prendre le temps pour se l'approprier au départ.Il y a ""beaucoup"" de texte, particulièrement au début pour la prise main, à lire. Par conséquent, ce jeu n'est pas vraiment adapté aux plus jeunes malgré des graphismes et univers très enfantins !Ce jeu est mixte : mon fils de 10ans l'avait commandé pour Noël 😀.Il préfère y jouer sur l'écran de la télévision car ""c'est plus cool !""... il voit mieux les paysages et cela est plus simple pour la réalisation des missions !",8,ACNH,AMAZON,2021-02-27
"Mon premier contact avec Animal Crossing remonte à l'opus 3DS, New Leaf.Dès que j'ai vu qu'il allait sortir, je l'ai précommandé .Le jeu nous donne quelques missions, mais on y joue surtout pour faire ce qu'on veut; décorer la maison, créer des sentier, pêcher, aller au jardin...La vie sur l'île est animée par les habitant, il y en a des tas différents donc personne n'aura la même expérience de jeu.Le jeu nous incite à jouer un peu tous les jours plutôt que de faire de longues sessions éloignées dans le temps.Il dispose d'une très grande durée, même après plus de 200 heures il y a encore des choses à faire.Je recommande",10,ACNH,AMAZON,2020-12-06
"Voici le tout dernier jeu que j'ai acheté sur Switch, et autant dire qu'il y a de quoi à découvrir...C'est parti pour une vie trépidante sur l'île d'Animal Crossing, une nouvelle édition qui mélange nouveaux décors, nouveaux personnages, tout cela sous un ciel ensoleillé ou étoilé, une vie loin des tracas urbains où vous renoué avec la nature.A la rencontre de nouveaux arrivants ou d'anciens, vous entrerai en interaction avec l'ensemble de la communauté. Un jeu en réseau qui a fait ses preuves depuis longtemps.Attention n'oubliez pas de revenir à la vie réelle.",10,ACNH,AMAZON,2020-06-22
Ras !!! Parfait !!,10,ACNH,AMAZON,2022-07-20
Jeu au top. Sur Amazon toujours moins cher !  Je recommande,10,ACNH,AMAZON,2022-06-18
Un bon jeu pour se détendre. A jouer sans pression et qui évolue au fil des saisons.,10,ACNH,AMAZON,2022-05-30
Bon jeu,10,ACNH,AMAZON,2022-07-22
"Offert à ma niece pour Noël, elle était très très contente. Elle l'a aussitôt installée sur sa console et ne l'a pas quittée des yeux. Même ses frères se sont joint à elle.",8,ACNH,AMAZON,2022-01-06
"Excellent pour les enfants avec des petites missions à réaliser qui les entrainent en même temps à lire (les instructions), pas de stress, pas de monstres, un monde simple, coloré... des objets à ramasser... des poissons à pêcher... des choses à construire... Un très bon passe temps qui marche aussi sur les adultes...",10,ACNH,AMAZON,2022-01-26
Bien,10,ACNH,AMAZON,2022-07-22
donnez en cadeau et les enfants sont très content il s amuse bien avec,8,ACNH,AMAZON,2022-03-03
"Rien à dire et pourtant il y en aurait des choses à dire.Je regrette de ne pas l'avoir avant! Avec ce jeu j'arrive à m'évader et à penser à autre choses que les actualités!Je n'ai jamais joué à cette licence, mais j'adore cette version!On ne s'ennuie jamais mais si on le veut on peut très bien se poser sur un banc et écouter le bruit des vagues ou du Rock Kéké!Je ne comprenait pas l’intérêt de ce jeu il y a encore quelques mois mais une fois qu'on y joue on comprends l'essence que ce jeu procure...Bref, un des meilleurs titres de la console pour se détendre :)",10,ACNH,AMAZON,2020-06-29
Mes enfants adorent ce jeux,10,ACNH,AMAZON,2022-07-06
