Content,Stars,titre,origine,jour,mois,année,Pays
"Étant un fan inconditionnel de la série Animal Crossing, je ne peux qu'être désespéré à l'idée de voir le tournant que la série a pris.J'ai été très heureux durant le tout premier trailer en 2019 et au final, j'en ressors très déçu.J'ai eu le jeu le 20 Mars, j'y ai joué jusqu'à début Mai pour au final, ne plus jamais le relancer... Et ça m'a fait un bien fou de ne plus le relancer.Points positifs :• Graphiquement, le jeu est magnifique. C'est parfait.• Le terraforming• La décoration de l'île• Les recettes de craft• De nombreux vêtements• Les petits détails matériels apportés aux habitants qui paraissent plus vivants, mais aussi à l'île tel que le vent venant balayé les feuilles ou encore les gouttelettes de pluie ruisselant sur les feuilles.Points négatifs :• Un des éléments principal du jeu : le craft. Là où le craft aurait dû être le gros point fort du jeu, on se retrouve finalement avec un système de craft très dépassé, qui n'a même jamais existé dans un jeu vidéo tant il est peu ergonomique et nous pousse à marteler le bouton A afin d'essayer d'aller plus vite. Impossible de crafter plusieurs objets à la fois, impossible d'avoir accès à notre stock depuis l'établi... Le joueur est forcé de tout faire un par un, c'est inadmissible.• Le terraforming, je le mets aussi en point négatif car il est très mal foutu. C'est de l'approximation à l'état pur car il est impossible d'être précis en se déplaçant au stick et avec la pelle. Ils auraient dû implanter un système de map en vue du dessus, case par case, permettant une refonte propre et précise. Aussi, il est impossible de créer des angles, tout est en mode ""pixel art 3D"". Les motifs ne peuvent pas se coller aux bordures des rivières/étangs/ponts donc le joueur se retrouve forcément avec des lignes d'herbes bien dégueulasse qui cassent tout.• Par rapport à New Leaf, le catalogue des meubles a perdu plus de 500 objets, dont des séries de meubles très populaires. Adieu la série royale, rococo, nintendo, négligée, minimaliste, rayure, nordique et j'en passe. C'est une régression inadmissible, surtout quand un jeu 3DS fait mieux qu'un jeu Switch à ce niveau... Sans oublier que New Horizons s'est volontairement dirigé vers un jeu mêlant décoration de l'île et craft. À quoi ça sert si plus de 500 meubles ont été retirés du jeu ?• En parlant de décoration, la maison du joueur a aussi vu sa taille rétrécir puisque dans New Horizons, le joueur possède une pièce principale en 8x8, trois pièces adjacentes en 6x6 et 2 pièces aux étages en 6x10. Sur les anciens opus, les pièces de la maison étaient toutes en 8x8. C'est donc une perte de 92 cases (si j'ai bien compté), comme s'il y avait environ une pièce et demi en moins dans la maison. C'est inexcusable.• Les dialogues des habitants se répètent tous, ils n'ont plus aucune personnalité. Il suffit de leur parler plusieurs fois par jour pour constater qu'ils disent à peu près tous la même chose. D'ailleurs, pourquoi les habitantes arrogantes sont aussi gentilles ?Sans oublier Marie qui est inutile et chiante avec ses annonces à chaque lancement de la partie, pour nous dire qu'elle a bu du jus de chaussette hier soir.• La casse des outils est la pire idée du monde, c'est affreux de devoir refaire des allers-retours constant afin d'en recrafter/racheter. Les outils en or ne sont même pas incassables, à quoi servent-ils si ce n'est nous faire dépenser des pépites d'or ?• L'OST médiocre, c'est dur de passer de Wild World et New Leaf à ça.• Trop de PNJ manquants, trop d'événements qui ne servent à rien et nous poussent simplement à prendre des photos inutiles, le système Nook Miles qui devient très lourd à force avec un smartphone très toxique et intrusif (comme dans la vie réelle, le comble pour un jeu Animal Crossing), des îles mystères chiantes, des mini-jeux inexistants, un online vide, désastreux et qui date d'une autre époque (impossible d'avoir accès au stock et à la banque), les recettes de craft qui ne sont pas stockables et reviennent souvent en double, triple, quadruple... Sans oublier le vide du magasin M&M avec les mêmes meubles qui apparaissent, la cabine d'essayage des SDDF qui nous empêchent d'acheter plusieurs hauts ou plusieurs bas à la fois...Je vais m'arrêter là car il y a une limite de caractères, j'aurai encore beaucoup de critiques à faire mais l'essentiel est résumé.Nintendo s'est tourné vers une politique du jeu en kit. Peut-être que les futurs mises à jours effaceront certains défauts et je l'espère mais en l'état, le jeu ne vaut pas plus que la moyenne.",3,ACNH,AMAZON,23,8,2020,France
"Correct, comme espéré.",4,ACNH,AMAZON,22,1,2023,France
"Aucun souci, mon fils de 7 ans adore",5,ACNH,AMAZON,22,1,2023,France
"Comme beaucoup d'enfants rien à dire sur ce jeu, ma fille en est ravie",5,ACNH,AMAZON,17,1,2023,France
Ce jeu Nintendo est pour tout âges et il est officiel Nintendo.Le jeu ne se termine pas du jour au lendemainDonc la longévité est juste top.On apprend à construire une île avec des habitants mettre de la végétationDe la récolte de la vente en bref de quoi s’amuser pendant des heures.Je recommande ce jeu pour tous.,5,ACNH,AMAZON,4,12,2022,France
Conforme,4,ACNH,AMAZON,15,1,2023,France
"Très bon jeu mon fils adore, bonne idée cadeau je conseille",5,ACNH,AMAZON,15,1,2023,France
Jeu qui a le plus plu à mes filles de 9 et 5 ans parmi les jeux switch.,5,ACNH,AMAZON,9,1,2023,France
Hâte pour la prochaine maj,5,ACNH,AMAZON,15,1,2023,France
"Jeu reçu très vite et dans sa boîte, rien à dire de plus ☺️",5,ACNH,AMAZON,8,1,2023,France
Pour glandouiller le dimanche aprem c'est parfait,5,ACNH,AMAZON,11,1,2023,France
"super nickel le jeu je ne l'ai pas encore déballé mais je l'ai juste ouvert pour vérifier la cartouche car il y'a des des gens qui on eu des boite vides alors j'ai préférer vérifier , et tout est excellent merci encore Amazon!",5,ACNH,AMAZON,9,12,2022,France
ayant des fans à la maison ....très bien les enfants sont très contentcommandée deux fois !,5,ACNH,AMAZON,28,12,2022,France
"j'ai 300h de jeu, ca veut tout dire",5,ACNH,AMAZON,6,1,2023,France
Conforme,4,ACNH,AMAZON,17,12,2022,France
C'est pour ce jeux que j'ai craqué pour une switch.Impossible de passer à côté.Autant pour les enfants que pour les grands enfants.,5,ACNH,AMAZON,14,12,2022,France
Je l ai cherché partout ..a plus .. alors merci amazone grâce à vous un petit garçon à aimé votre livraison d un jeu tant attendu !,5,ACNH,AMAZON,8,12,2022,France
"un classique pour ce style de console,",5,ACNH,AMAZON,30,12,2022,France
Des centaines d'heures de jeu pour les enfantsUn achat obligatoire pour les possesseurs de Switch,5,ACNH,AMAZON,19,12,2022,France
Je ne pensais pas mais il n'y a pas d'âge pour ce jeu. Avec ma compagne on se régale d'y jouer un petit peu tous les jours,5,ACNH,AMAZON,7,12,2022,France
MON FILS ADORE JE RECOMMANDE,5,ACNH,AMAZON,26,12,2022,France
super jeu pour les parents et les enfants,5,ACNH,AMAZON,25,12,2022,France
"Rien à redire quant au jeu et à sa qualité.Colis reçu en très bon état, produit intact encore sous blister.",5,ACNH,AMAZON,12,12,2022,France
Conforme,5,ACNH,AMAZON,29,12,2022,France
Cadeau d'anniversaire,4,ACNH,AMAZON,3,12,2022,France
"Conforme à ce qui est présenté, fonctionne correctement.",5,ACNH,AMAZON,20,12,2022,France
"super bon jeu. je conseil, on s'ennuie pas",5,ACNH,AMAZON,18,12,2022,France
Jeux nickelLivraison nickel,5,ACNH,AMAZON,21,12,2022,France
"Fan d'Animal Crossing, je ne pouvais qu'aimer 👍🏻",5,ACNH,AMAZON,14,12,2022,France
Jeu sympa mais je trouve qu'un s'ennuie vite,5,ACNH,AMAZON,13,12,2022,France
"Je suis une très grande fan de la licence Animal Crossing et cette version offre beaucoup d'opportunités pour la décoration, le développement de la créativité. Une vraie pépite pour tous les âges !",5,ACNH,AMAZON,15,11,2022,France
"Le produit multimédia n'a pas pu être chargé.Que dire de plus  sur ce jeu  ultra célèbre qu'est  animal crossing .J'ai  eu la chance d'avoir la première version sortie le 15  septembre 2004, le jour de sa sortie en france  si mes souvenirs  sont bons et depuis je les ai tous eu(sauf home designer qui est à  part) et dernièrement  acheté de nouveau sur Amazon  le wild world  sur 3ds  et new leaf. J'avais déjà  acheté  celui-ci  en mai 2020 mais je l'ai  offert dernièrement et me suis achetée de nouveau une version sur Amazon. moins chère en plus.Je vais plutôt énumérer ce que j'aurais aimé y retrouver  dans celui-ci  sans toutefois dénigrer le titre que j'adore dans son ensemble car à  l'époque nous n'avions pas la chance d'avoir des mises à  jour.  Le jeu était complet et rien de plus , pas de pass en ligne etc.J'aurais  aimé  y retrouver le café de Robusto(peut etre un jour), Elisabec la postière et Antoine  postier aussi. Également  plusieurs magasins ainsi que la coiffeuse Ginette  et bien  d'autres.  Avoir plus de fruits , ce sont toujours  les mêmes depuis 2004, des légumes à récolter.  Il y a beaucoup d'améliorations bien sûr  que vous découvrirez avec plaisir , avec le remod'ile  , l'établi pour fabriquer des meubles etc mais avec la technologie  d'aujourd'hui,  les mises à  jour, nous sommes toujours  en attente des personnages qui nous manquent,  des voisins etc.. Sinon animal  crossing  est un jeu de simulation  de vie le meilleur de la switch,  de Nintendo dailleurs  qui plaît autant aux adultes ( voir  plus) qu'aux  enfants.  Je l'adore.",5,ACNH,AMAZON,26,4,2021,France
Je trouve que se jeu est cher par raport a son fonctionnement. Je trouve que la valeur de ce jeu est de 31 euros est 16 centime. En dehors de sa j ai toujours appréciée ce jeu car c'est un jeu mignon avec des petit personnage pour une fois que ce n'est pas un jeu violent. 5 étoiles pour ce jeu !,5,ACNH,AMAZON,9,10,2022,France
Top,5,ACNH,AMAZON,18,12,2022,France
parfait,5,ACNH,AMAZON,16,12,2022,France
Mon fils a l'air d'aimer donc je valide,5,ACNH,AMAZON,30,11,2022,France
A la demande de ma fille qui est très contente du jeux,5,ACNH,AMAZON,25,11,2022,France
"je prenant en temps réel, rien ne presse, très longue durée de vie,",5,ACNH,AMAZON,23,11,2022,France
La famille est ravie,5,ACNH,AMAZON,2,12,2022,France
Comme toujours ce jeu est au top peut importe les années !,5,ACNH,AMAZON,21,11,2022,France
Vivement le 25 pour Noël.....,5,ACNH,AMAZON,24,11,2022,France
Article conforme,5,ACNH,AMAZON,28,11,2022,France
"Livraison reçu en temps et en heure, bien que le livreur n'est pas l'air de savoir organisé son chemin de livraison 😅Produit neuf et conforme acheter au prix de l'occasion, rien à signaler, fonctionnel 😊Pour ceux qui douterait du jeux, sachez qu'il n'y a pas de meilleur Animal Crossing sur celui-ci ! 🙀Des tas de fonctionnalités amusante un mode multijoueur qui ravira vos journées ou vos soirées ! 👌🏼Cependant il faut le dire plus vous jouez et plus approchée inévitablement de la fin, non pas du jeux car en soit ce genre de jeux n'a pas de fin, mais de la fin de votre engouement car une fois que vous aurez tout eu ou quasiment, et que vous aurez fait votre île a l'image que vous vouliez eh bien ... Le jeux sera tellement ennuyant que vous n'aurai plus vraiment envie de jouer 😓Bien entendu vous vous dites ""mais ...et si je faisait une nouvelle îles ?!"" ...C'est à ce moment précis que Nintendo viens brisé vos doux rêve car là où il était possible de créé plusieurs îles avant sur cette version du jeux vous n'aurez droit qu'à une seule île ... Par console !! 😓🥺Ne vous laissant que peu de choix, ou vous rasé la totalité de votre travail sur le jeux ou vous achetez une nouvelles console .. pour les plus riche d'entre nous cela ne les freinera pas, mais pour les plus petite gens, on ne peux hélas pas acheter plus de Switch sous prétexte que Nintendo a fait n'importe quoi 😓Ce jeux reste néanmoins magnifique 💯",5,ACNH,AMAZON,25,11,2020,France
Un peu lassant à la longue mais super jeu ! Arrivée niquel et aucun problème à signaler :),4,ACNH,AMAZON,17,10,2022,France
La boîte de jeu est arrivé en parfait état simplement déçu de la qualité du jeu en lui même ...,3,ACNH,AMAZON,6,2,2023,France
Mon fils l’attendait depuis quelques moisIl a été ravi de son cadeau,5,ACNH,AMAZON,9,11,2022,France
Un jeu qui peut plaire aux petits comme aux grands,5,ACNH,AMAZON,8,11,2022,France
Ras,5,ACNH,AMAZON,21,11,2022,France
"Acheté pour un cadeau à un enfant, quelle déception quand après avoir descellé le boitier la boite était vide !!J'ai contacté Nintendo qui se retranche derrière le fait que chaque boite est pesée en fin de chaine et qu'il est impossible que ce cas arrive... Travaillant dans l'industrie, le nombre de choses impossibles devenues possibles sont incalculables !!Enfin bref, ""0 pointé"" pour Nintendo est 20/20 au service client Amazon qui à pris le temps de m'écouter et de m'effectuer le renvoi d'un nouvel article ! Incident diplomatique familial évité de justesse !",5,ACNH,AMAZON,15,6,2022,France
Bon jeu,4,ACNH,AMAZON,11,10,2022,France
"Livré très rapidement. J'adore ce jeu ! un jeu incontournable et indémodable :) je suis ravie de cette achat. Si vous êtes fan de cette licence, foncez.. il est parfait.",5,ACNH,AMAZON,24,9,2022,France
C'est-un très bon jeux je conseille pour tout âge,5,ACNH,AMAZON,3,11,2022,France
Livraison rapide et satisfait du produit,5,ACNH,AMAZON,30,10,2022,France
Le jeu en lui même est intéressant mais à la longue si vous n'avez pas l'abonnement à Nintendo switch online vous pourrez pas évoluer rapidement ce qui est dommage c'est pour cela que je met que 4 étoiles,4,ACNH,AMAZON,25,7,2022,France
Super produit,5,ACNH,AMAZON,4,11,2022,France
Super jeu correspond bien à l’annonce,5,ACNH,AMAZON,20,10,2022,France
Il s’agit d’un très bon jeu! Il est très divertissant ! Je n’ai rien à dire d’autre si ce n’est que je vous le recommande vraiment,5,ACNH,AMAZON,11,9,2022,France
très bien et moins cher qu'en magasin !,5,ACNH,AMAZON,10,10,2022,France
Bien,5,ACNH,AMAZON,30,10,2022,France
Bon jeu,5,ACNH,AMAZON,20,10,2022,France
"Une boite de jeu pour NINTENDO switch, avec à l'intérieur Animal Crossing.Il y a bien à l'intérieur une cartouche de jeu.Un jeu conforme à l'attente et fonctionne très bien.à 44.49€ actuelle en promotionc'est un excellent rapport qualité prix.",5,ACNH,AMAZON,16,8,2022,France
Acheté pour un cadeau d’une fillette de 8 ans.Ce type de jeu permet de développer la lecture car l’essentiel des tâches passe par des bulles. Attention donc à ce point (si votre enfant n’aime pas lire il n’aura pas le choix pour aimer le jeu)L’univers est sympa et le jeu a une durée de vie presque illimitée.Un must have,5,ACNH,AMAZON,2,6,2022,France
Ce jeu est vraiment cool. Je le recommande vivement.,5,ACNH,AMAZON,16,9,2022,France
Les personnages sont rigolo il faut tout de même maîtriser la lecture pour pouvoir avancer dans le jeux.,5,ACNH,AMAZON,28,8,2022,France
recus ce jour conforme toutest ok,5,ACNH,AMAZON,14,9,2022,France
RAS,5,ACNH,AMAZON,28,9,2022,France
Bien reçu et correspond à la description,5,ACNH,AMAZON,4,9,2022,France
Très bon jeu pour les enfants et les grands adultes,5,ACNH,AMAZON,28,8,2022,France
Un jeux qui rappelle des souvenirs d’enfance 🫶,5,ACNH,AMAZON,29,8,2022,France
Conforme.,5,ACNH,AMAZON,17,9,2022,France
"Un must des jeux Nintendo, qui peux paraître lourd mais qui est au final hyper additif !Vous passez des heures sur ce jeu sans vous en rendre compte tellement il y a de choses a faire, des mission a accomplir, des choses a voir etc... il faut aimer chercher, s'organiser pour arriver à construire quelqchose de bien dans ce jeu ! Chaque choix peut être décisifs ! ( le temps dans le jeu s'ecoule comme dans la vraie vie : pour faire pousser une fleur il vous faudra 4 jours par exemple voir plus, il vous faudra donc de la patiente !)Le seul point négatif pour moi ce sont les dialogues, les écrans de chargements et les intertactions qui sont un chouilla trops longues, ce qui peut devenir agacant au bout de 2h00 de jeu !A part ça, le jeu est génial !",5,ACNH,AMAZON,18,2,2021,France
"En route pour de nouvelles aventures Animal Crossing !Le jeu ressemble beaucoup aux versions précédentes, mais bien sûr avec des variantes et des nouveautés !L'objectif du jeu est de démarrer une nouvelle vie sur une île paradisiaque à choisir soit dans l'hémisphère Nord, soit dans l'hémisphère Sud.Pour cela, tout est bâtir comme d'habitude en fabriquant des outils, des meubles, des objets.....On retrouve la pêche, la vente et l'achat d'objets, le musée. ..Les décors changent en fonction des saisons. Très sympa, beaucoup d'échanges, d'interactions avec les autres habitants. Les phrases et jeux de mots sont toujours aussi drôles.Jeu possible en local et en ligne. 8 joueurs peuvent se retrouver en même temps sur une île et 4 joueurs peuvent jouer ensemble sur un même écran.Attention, une seule île peut être créée par console.A acheter les yeux fermés, pour un agréable moment de détente.",5,ACNH,AMAZON,23,1,2021,France
,5,ACNH,AMAZON,5,9,2022,France
"Acheter à la base pour les 7 ans de ma fille... Ben je crois que j'y jour plus qu'elle !!!C'est un jeu qui détend.On part de zéro (sur une île déserte) et on crée une communauté, tout en apprenant la simplicité de la vie, l'échange, l'entraide... On construit ses outils, des habitations, on pêche, on plonge, ou récolte ....Je recommande totalement !!!Ma fille y joue souvent et quand elle n'y joue pas c'est moi !!!C'est un bon jeu aussi bien pour les enfants que pour les adultes histoire de décompresser de la vie !!!",5,ACNH,AMAZON,18,9,2021,France
Bon jeux,4,ACNH,AMAZON,28,6,2022,France
"Jeu offert pour ma fille de 8 ans.Pour commencer il faut choisir un personnage puis une île. Les premières missions sont : rembourser sa dette pour l'installation, trouver des poissons/insectes pour faire venir le hibou ... pour cela il faut construire des outils, ramasser des matériaux ....Je trouve l'histoire super pour ma fille , et cela lui apprend à prendre le temps, observer ... mais il a quand même pas mal de choses à maîtriser pour y jouer correctement. 8 ans me parait une âge minimum. (plusieurs boutons à maîtriser, plusieurs concepts de stockage et missions etc...).Le paysage est très agréable et on prend plaisir à ce balader dans le jeu, à pêcher et découvrir de nouvelles espèces de poissons et insectes.Un jeu autour de la nature ce qui est une bonne chose en ce moment. Qui plait autant à ma fille de 8 ans qu'à moi 34 ans.",5,ACNH,AMAZON,6,7,2020,France
Super j’aime beaucoup pour mon petit fils merci pas déçue,5,ACNH,AMAZON,4,8,2022,France
Ce jeux est parfait pour chill seul ou a plusieursMalgré qu'il n'y a plus le confinement c'est toujours une joie d'y jouer en periode d'été comme d'hiver,5,ACNH,AMAZON,25,6,2022,France
"N’étant de base pas un joueur de ce type de jeu, je l’ai trouvé vraiment sympas, je l’ai farm jusqu’à la easter maj qui m’a plutôt déçu et qui m’a fait malheureusement décrocher du jeu, je n’y ai plus joué depuis. Malgré ça, j’ai suivi son évolution, il a depuis eu d’autres maj et de l’ajout de contenu in game. Obligé de reconnaître le phénomène qu’est cet opus de la saga Animal crossing au sein de l’univers video ludique. Un super jeu si vous êtes déjà fan de la série et une possible très bonne découverte si ce n’est pas votre cas. À noter que si vous accrochez au jeu il va vite devenir chronophage.",4,ACNH,AMAZON,17,3,2021,France
"Animal Crossing est un super jeu qui a extrêmement bien évolué comparé à sa première version sur la DS tout en restant très fiable à celle-ci. Le jeu offre énormément d'opportunités et de choses à faire (plongée sous-marine, modifiée complètement son île en créant des falaises... ect). Je suis extrêmement satisfaite de mon achat.",5,ACNH,AMAZON,3,4,2022,France
Mon fils aime bien,5,ACNH,AMAZON,14,8,2022,France
"Pour ma part, le meilleur jeu chill sur switchPoint négatif : ce jeu peut entraîner une dépendance.Vous voilà avertis :)",5,ACNH,AMAZON,27,6,2022,France
C'est amusant,5,ACNH,AMAZON,13,8,2022,France
Reçu rapidement et correctement. Je suis ravie 👍,5,ACNH,AMAZON,24,7,2022,France
"Très bon jeu pour passer le temps sans s'énerver, en temps réel donc ça ne sert à rien de se presser, quand on vous dit que la construction sera finie ""demain"" c'est le même ""demain"" que dans la réalité, rien à faire pour aller + vite (genre payer comme dans les jeux ""free to play""). Le cycle jour/nuit est aussi calé sur la réalité.Je retire juste une étoile pour l'absence de gestion de la sauvegarde dans le cloud, donc s'il y a un problème de bug ou de vol de la console, vous perdez TOUT : des centaines voire des milliers d'heures de farming... très frustrant, ça nous ramène au moyen-âge vidéoludique, merci Nintendo. S'il y a a bien un genre de jeu qui nécessite une sécurité de sauvegarde c'est celui-là, c'est pas un Mario Bros.D'autant + que cette absence de cloud vous interdit de passer de votre Switch normale à votre Lite (si vous avez les 2) pour continuer votre partie en nomade en mode ""léger"".",4,ACNH,AMAZON,26,3,2020,France
"Precommandé avant sa sortie le 20 mars 2020, et reçu très rapidement le 21 mars 2020, merci Amazon ☺.En route pour de nouvelles aventures Animal Crossing !Le jeu ressemble beaucoup aux versions précédentes, mais bien sûr avec des variantes et des nouveautés !L'objectif du jeu est de démarrer une nouvelle vie sur une île paradisiaque à choisir soit dans l'hémisphère Nord, soit dans l'hémisphère Sud.Pour cela, tout est bâtir comme d'habitude en fabriquant des outils, des meubles, des objets.....On retrouve la pêche, la vente et l'achat d'objets, le musée. ..Les décors changent en fonction des saisons. Très sympa, beaucoup d'échanges, d'interactions avec les autres habitants.  Les phrases et jeux de mots sont toujours aussi drôles.Jeu possible en local et en ligne. 8 joueurs peuvent se retrouver en même temps sur une île et 4 joueurs peuvent jouer ensemble sur un même écran.Attention, une seule île peut être créée par console.A acheter les yeux fermés, pour un agréable moment de détente.",5,ACNH,AMAZON,22,3,2020,France
Enfin un jeu pour les petits et grands.On se prend vite au jeu.,5,ACNH,AMAZON,27,6,2022,France
Jeux onéreux pour ce qu'il sert. Mon fils s'est vite lassé... déçue,5,ACNH,AMAZON,29,6,2022,France
"Jeu intéressant, fonctionne parfaitement bien. Légèrement addictif. Les graphismes auraient pu être légèrement mieux travaillés.Jeu pas adapté à des petits enfants (4-5 ans) selon moi, car même si on peut leur lire les textes, les déplacements / mouvements nécessitent d’être assez précis (par exemple : pour rentrer dans une tente il faut vraiment être pile en face, pour pêcher il faut être assez réactif en appuyant rapidement sur le bouton quand le poisson mord à l’hameçon), ce qui n’est pas forcément le cas pour tous les enfants et notamment s’ils n’ont jamais joués à la console.",5,ACNH,AMAZON,19,5,2021,France
Ras,5,ACNH,AMAZON,3,8,2022,France
"Très bon jeu mais qui nécessite de prendre le temps pour se l'approprier au départ.Il y a ""beaucoup"" de texte, particulièrement au début pour la prise main, à lire. Par conséquent, ce jeu n'est pas vraiment adapté aux plus jeunes malgré des graphismes et univers très enfantins !Ce jeu est mixte : mon fils de 10ans l'avait commandé pour Noël 😀.Il préfère y jouer sur l'écran de la télévision car ""c'est plus cool !""... il voit mieux les paysages et cela est plus simple pour la réalisation des missions !",4,ACNH,AMAZON,27,2,2021,France
"Mon premier contact avec Animal Crossing remonte à l'opus 3DS, New Leaf.Dès que j'ai vu qu'il allait sortir, je l'ai précommandé .Le jeu nous donne quelques missions, mais on y joue surtout pour faire ce qu'on veut; décorer la maison, créer des sentier, pêcher, aller au jardin...La vie sur l'île est animée par les habitant, il y en a des tas différents donc personne n'aura la même expérience de jeu.Le jeu nous incite à jouer un peu tous les jours plutôt que de faire de longues sessions éloignées dans le temps.Il dispose d'une très grande durée, même après plus de 200 heures il y a encore des choses à faire.Je recommande",5,ACNH,AMAZON,6,12,2020,France
"Voici le tout dernier jeu que j'ai acheté sur Switch, et autant dire qu'il y a de quoi à découvrir...C'est parti pour une vie trépidante sur l'île d'Animal Crossing, une nouvelle édition qui mélange nouveaux décors, nouveaux personnages, tout cela sous un ciel ensoleillé ou étoilé, une vie loin des tracas urbains où vous renoué avec la nature.A la rencontre de nouveaux arrivants ou d'anciens, vous entrerai en interaction avec l'ensemble de la communauté. Un jeu en réseau qui a fait ses preuves depuis longtemps.Attention n'oubliez pas de revenir à la vie réelle.",5,ACNH,AMAZON,22,6,2020,France
Ras !!! Parfait !!,5,ACNH,AMAZON,20,7,2022,France
Jeu au top. Sur Amazon toujours moins cher !  Je recommande,5,ACNH,AMAZON,18,6,2022,France
Un bon jeu pour se détendre. A jouer sans pression et qui évolue au fil des saisons.,5,ACNH,AMAZON,30,5,2022,France
Bon jeu,5,ACNH,AMAZON,22,7,2022,France
"Offert à ma niece pour Noël, elle était très très contente. Elle l'a aussitôt installée sur sa console et ne l'a pas quittée des yeux. Même ses frères se sont joint à elle.",4,ACNH,AMAZON,6,1,2022,France
"Excellent pour les enfants avec des petites missions à réaliser qui les entrainent en même temps à lire (les instructions), pas de stress, pas de monstres, un monde simple, coloré... des objets à ramasser... des poissons à pêcher... des choses à construire... Un très bon passe temps qui marche aussi sur les adultes...",5,ACNH,AMAZON,26,1,2022,France
Bien,5,ACNH,AMAZON,22,7,2022,France
donnez en cadeau et les enfants sont très content il s amuse bien avec,4,ACNH,AMAZON,3,3,2022,France
