author,date,review,score,titre,origine
Prodromus,03-03-2017,"Game is fabulous.
Everything about this game sparks the player’s intuition and rewards them with satisfying results.
The world reeks of charm and every town has multiples of interesting NPCs that still have the classic Zelda quirkiness.
Combat is very dynamic and fluid and the ability to challenge yourself by going into later stage areas has a perfect risk and reward feel that encourages you to keep going. Plenty of times I had to remind myself that I should properly follow the main storyline after half an hour in uncharted territory looking for treasure.
The game has its issues like any game does. The Frame rate drops being the biggest issue, but I can think of plenty of games that had frame rate issues on release and now run smooth.
Personally I would rate the game a 9, but I’m giving a 10 to try and counteract the obvious troll reviews bring the average down.
Must buy for a Switch owner or Zelda fan.",10,ZELDA BOTW,METACRITIC
shawndumas,03-03-2017,"Beautiful...
Stunning...
Inspiring...

As others have said, probably the best Zelda ever; maybe the best game ever. Can't wait to see it's version of Majora Mask",10,ZELDA BOTW,METACRITIC
Smashmatt202,03-03-2017,"Breathtaking, expansive, deep, with the freedom to go about the game however you please. That, is The Legend of Zelda, when it began, and what it is now.",10,ZELDA BOTW,METACRITIC
Fred_GameOnBatt,03-03-2017,"Finally a worthy opponent for OOT!
The epic world of Hyrule that Nintendo has created is the culmination of the saga The Legend Of Zelda, with the best physics engine we've seen. A video game that will go down in history for its quality and the freedom it offers the player.
Regretfully for Wii U, Nintendo has removed the exclusive console greatest game that has developed the company in its history, Zelda: Breath of The Wild, giving a powerful reason to the world, if you have a console in which play this game, buy it.",10,ZELDA BOTW,METACRITIC
lesley_dias,03-03-2017,"A good game, with a pretty art direction, and incrible things to do and physics systems, for me is the best game i already played ! We have a magical adventure with Link, the definitve hero of the games, thank you nintendo for all!",10,ZELDA BOTW,METACRITIC
LinkBoz84,03-03-2017,"The epitome of all the Zelda games has finally arrived and it is well worth the wait! This game is undoubtedly the Greatest Of All Time and deserving of unseating OoT drone its throne. The new physics engine, amazing graphics, outstanding story, gameplay, enemy AI...the list goes on and on with the fantastic contributions BoTW brings to the gaming world. A new chapter in gaming and a new standard for all games to try and achieve. Bravo Nintendo!!!",10,ZELDA BOTW,METACRITIC
Krypticus,03-03-2017,"This game is truly amazing.
- As a hardcore Nintendo/Zelda fan who has been waiting for this game for 5 years, I can say that it completely surpassed everything I thought it would be.
-The world size is incredible, and every bit of it is filled with fun things to do.
-The storyline, while it is somewhat ""relaxed,"" is amazing if you take the time to actually go and focus on it. --
-Other than that, simply exploring the world is super fun too.
-The items you can get are all either fun, funny, or incredibly useful and the combat system is great.
-The inventory is set up in a somewhat weird way but works fine for me.
-I'm not even that far in(at least, I don't think so) but I can tell this game will take me hours upon hours just to complete the story and will keep me interested for years.
-If I could, I'd give this game a 1000/1000.",10,ZELDA BOTW,METACRITIC
Mac_Ready,03-03-2017,"Simplemente impresionante. Tal vez no sea el juego con los mejores gráficos pero a quién le importa eso cuando su jugabilidad está a años luz de la gran mayoría de triple AAA. Por cierto, llo más triste es ver cómo algunos le dan un cero. En serio, ¿un cero? No se puede ser más patético ni hater....",10,ZELDA BOTW,METACRITIC
AlexRamosQueiro,03-03-2017,"MELHOR ZELDA DESDE OCARINA OF TIME!! da pra perder horas e horas jogando essa LENDA
joguei a versão do WiiU e mal posso esperar para jogar a versão do switch",10,ZELDA BOTW,METACRITIC
flujackson,03-03-2017,"So far so good! I have not had so much fun exploring in a game, let alone a Zelda game. It really brings back that feeling of wow, this world is so big. I had the exact same feeling when I was ten when OOT came out. Truly feels good.",10,ZELDA BOTW,METACRITIC
iusshpandeh,03-03-2017,"The BEST OpenWorld RPG ever created. This is even better than the Witcher 3 in which I've already spent 100+ hours. This game is a must have game of this generation.

I'm playing it on my Wii U and truly speaking, I want to try it on Switch in handheld mode.

truly a gem though.

I'd call it 11/10 because bs games like MGSV and GTA 5 got 10/10 from many media outlets.",10,ZELDA BOTW,METACRITIC
Kiryu1120,03-03-2017,"Ignore the Sony and Microsoft fanboys coming on here to rate it 0 to put the user score down. SAD. This game is a MASTERPIECE. Grow up and appreciate the best games. Sony, Nintendo and Microsoft do not care about you. You are just a random customer, don't be so overly weird and passionate. The Last of Us and Breath of the Wild are the only 2 games I'd give a full 10 out of 10 so far this decade. Again, MASTERPIECE",10,ZELDA BOTW,METACRITIC
Schoolboy_hew,03-03-2017,"The game is great. As for those saying it is boring or too easy I don't agree. The direction of the game was to explore and solve puzzles. It keeps the Zelda charm while building on the past models.

I still think link to the past is the best Zelda game in the series but for a 3d Zelda this is a must play.",10,ZELDA BOTW,METACRITIC
LaurensL,03-03-2017,"What open world should be.
Perfect game.

Soundtrack ✔️
Gameplay Mechanics ✔️
Beautiful Artstyle✔️
Story ✔️

Absolute masterpiece. A must buy for everyone.",10,ZELDA BOTW,METACRITIC
ConnKon,03-03-2017,"I don't normally write reviews, but this is to help counterweight troll 0/10 'reviews' from salty fanboys. Hundreds of people that haven't played the game, yet can leave a 0/10 on day one. Metacritic needs a better user score system. Until then, report the blatantly obvious 0/10 troll reviews!",10,ZELDA BOTW,METACRITIC
chiscolo,03-03-2017,"Pedazo de juego, muy muy bueno. Gráficamente luce precioso y los controles van muy fluidos.
Y nada a los Sonyers piperos que le ponen un 0, como se nota la envidia jajajajaja.
Ale vosotros quedaos con lo vuestro y ya sabeis, sarna con gusto no pica",10,ZELDA BOTW,METACRITIC
Fliff,03-03-2017,"Nintendo, as always, pushes the envelope and made something truly unique, innovative, and fresh. Lots and lots of fake 0/10 user reviews, always a good sign that the game is well worth it.",10,ZELDA BOTW,METACRITIC
alyssonaraujo,03-03-2017,"This masterpiece deserves all the hype. It´s one of the most unique experiences you can have in gaming. Wonderful art direction, sublime soundtrack, and the characters we all love for decades. The best Zelda game yet, and one of the best games i´ve ever played.",10,ZELDA BOTW,METACRITIC
JuanLuisGG14,03-03-2017,"Simply best launch title ever
Textures may be lacking, but other than that this game is pure art
A must buy if you are going to get Switch
10/10 goty.",10,ZELDA BOTW,METACRITIC
mdk87,03-03-2017,"The best game in a long time! Even if the graphics are not on the highest level, the gameplay is simply incredible! A small discount due to graphic--> 9.7 However, it remains a smooth 10.",10,ZELDA BOTW,METACRITIC
peekaystarstorm,03-03-2017,trap link is justice 11/10 would succ best boy qtpatoot gud game /v/ needs to **** off and accept that the game is fun and stop being dumb tbqh fampai,10,ZELDA BOTW,METACRITIC
Nessuno_Im,03-03-2017,"This game is amazing and on the grandest scale ever seen on a console based game.

The artwork is amazing, the gameplay draws you in, and the concepts are completely innovative and jaw-dropping.

This is truly one of those games you must play before you die.",10,ZELDA BOTW,METACRITIC
Johny22,03-03-2017,"Лучшая игра в истории. Столько механик, и все они отполированы до блеска. Постоянно открываешь для себя что то новое. Обязательна к покупке.",10,ZELDA BOTW,METACRITIC
pg_x,07-03-2017,"It's quite funny to see how many people can't stand getting a game a highscore because it isn't available on their platform of choice, It's a huge problem of Metacritic that every **** can rate a game they probably just have seen in a 30seconds commercial. Will I give Horizon Zero Dawn a 0/10 because some Sony Fans have nothing better to do than hating on this great game? No, as soon as I'm completely done with Breath of the Wild I will play Horizon Zero Dawn on my PS4 and hopefully enjoy it too. Gosh grow up kids, this is getting ridiculous here.

I have to admit, I'm not a huge fan of Open World games and if you are also not a fan of those you probably might end up enjoying Breath of the Wild less than previous games of the franchise. Don't get me wrong, I also play open World games but beside of bugs that are always present - which is kinda fascinating because I haven't seen a single bug in Breath of the Wild, yes it has some slight framerate issues, but nothing that makes it certainly less enjoyable - there are always things that could have turned out better in a less open world. For example Red Dead Redemption (for me a 8/10): it's huge Wild West world is great, has a lot of atmosphere and the story is pretty nice, but - not mentioning other flaws here - a stronger focus on the story would have me pleased more. Sure there are also examples where an open world IMO simply works, but that's mainly because it doesn't get to big which is kinda an issues in most modern open world games, bigger is not always better. Well, Zelda IMO doesn't have these problems, there is always something to do, being it enemy's, something you can hunt, NPC and so on... getting to your goal you might pretty much always find something interesting that can distract you if you wish for it. For it's enormous size it's surely an amazing world, it feels like it's breathing... living and way less like an simple scenery you have to complete your quest in. You don't need quest to enjoy it, but while there are is an enormous amount of smaller sidequest, I wouldn't have mind to have a few more main quest, be it as it be if you can enjoy yourself in a huge sandbox you most likely will love this game. The two biggest issues I have with this game are for once the story, I know you don't have to expect to much from a Zelda game but I have fallen for their trailer and expected that they would finally give us more, this game breaks pretty much all conventions this series has in the last 30years so why not? Yeah... don't expect to much, but if you have seen the trailer you will already know a good chunk of what there is available in form of cut scenes... I surely would love a Zelda game following the events that happened a hundred years ago... unfortunately Breath of the Wild doesn't give me enough to fulfill my expectations. The other issue I have with this game is that it kinda lacks of being ""The Legend of Zelda"", probably I would give it a 9.5-10/10 for being the best Open-World game out there but it wants to be a Zelda and with that in mind you might end up disappointed about all those broken conventions , IMO they took it a little step to far. It wouldn't have hurt the game if all the shrines weren't solvable without Items you HAVE to find in a Dungeon or somewhere in the world, those always have added variety to the Zelda games an I simply miss it, there is a good chunk of shrines but you can solve them all with the functions of the sheikah-slate (and a bow), needing a hammer/boomerang/magic rod which you can find in this world wouldn't have hurt but as a Zelda fan I would have wished for a few big dungeons with ""unbreakable"" Items to find and use in those shrines. Don't get me wrong, those Titans are pretty close to a Zelda Dungeon (beside the bosses not having a certain week point due to the lack of special Items) but just four of these in these BIG open-world wasn't enough to satisfy my thirst for ""The Legend of Zelda"", hell not even Hyrule Castle is a god damn dungeon, why Nintendo? WHY?

All in all Breath of the Wild is an amazing Open-World game and on it's own it outshines similar games - while you shouldn't expect a story driven RPG as The Witcher 3: Wild Hunt of course - but as a Zelda it comes a bit short in terms of having big and complex dungeons in which you can get lost for hours, well at least you will find yourself exploring this world for a good chunk of time even if you intend to walk pretty straight to the Titans and beat Ganon.",9,ZELDA BOTW,METACRITIC
beetleking22,03-03-2017,"Best game ever made in history. So many dungeons, hard monster, cool looking bosses. Great places, good npc. Old places like Zorais domain, kokiri forest .",10,ZELDA BOTW,METACRITIC
Cheesyrice,03-03-2017,"Just pure fun. When most AAA titles have lost their foundation and gameplay, Breath of the Wild steps in to remind people what games should be about. Great narrative, even better gameplay and style. This game is a true 10/10",10,ZELDA BOTW,METACRITIC
TurtleGames,03-03-2017,Breath of the wild es un juegazo tiene un hermozo sountrack y muy buen artwork bravo a nintendo por hacer esta obra maestra me encanta el juego :D y eso (spanish),10,ZELDA BOTW,METACRITIC
Crawnut,03-03-2017,"Absolutely glorious. A true masterpiece, handcrafted to please you in the smallest ways. Breath of the Wild is the best game I have ever had the pleasure to play.",10,ZELDA BOTW,METACRITIC
SeniXtro,03-03-2017,"Game epic!
Incredible details and vast area of scenery, is the incredible game of the year.
The game even surpassed Ocarina by the immersion that it proposes, at last is a historical landmark in the industry of games.",10,ZELDA BOTW,METACRITIC
ScorpionMG,03-03-2017,"Visuals are perfect, everything looks stunning and beautiful, Bravo Nintendo!
Nailed the soundtrack as well, you can even hear the synchronized steps Epona does!!!
Best game of the century, enough said!!",10,ZELDA BOTW,METACRITIC
Volian,03-03-2017,"Nintendo has done it again, the king of games is back!! The game is beautiful looking with its art style and plus its game play and story, you are going to have a awesome experience. I can't wait to see what they will do with the next Zelda title and where they take the games direction this time.",10,ZELDA BOTW,METACRITIC
darthshadow25,03-03-2017,"This is a game that takes the best aspects of gaming goliaths such as The Elder Scrolls, Dark Souls, Portal, and Assassins creed, then mixes them up in a cooking pot with the traditional Zelda games beloved by so many. The result is a game that can rival the near perfect, polished game that was Ocarina of Time. While not truly innovative (but let's be honest, innovation of a concept is far less important than perfection of that concept), Breath of the Wild brings together dozens of mechanics and systems, both new and old to the series, and blends them all seamlessly to create an intuitive and exhilarating experience that few games can achieve. With so much content and so many ways to tackle that content, this is a game that can keep people enthralled and immersed in the world of Hyrule for dozens of hours with its simple but deep combat system and its fantastic platforming and physics puzzles. While this game is nothing short of a masterpiece, there are minor flaws. It's voice acting is often flat and due to the open nature of the game the story doesn't feel like a pressing matter. The former never really detracted from the experience, but it certainly didn't enhance it, while the latter is simply a tradeoff for the wonderfully open world where players are given enough freedom to make a libertarian blush. The last complaint that I can make and have seen other people make is about framerate. Nintendo does not make strong hardware, they never have, and Breath of the Wild pushes that hardware to the extremes sometimes, resulting in chugging framerates and sometimes even complete pauses in gameplay in the most stressful of situations. This isn't due to poor coding or an unoptimized game (see any Bethesda game), but is due to a hardware limitation fully out of their control. To complain about the game's performance is to complain about the hardware, and because these slowdowns hardly detracted from my enjoyment of the game I can look past them. Zelda: Breath of the Wild is a game that brings together so many amazing things from so many amazing games and blends them seamlessly and intuitively. I cannot articulate how intensely I believe that everyone should play this game. This is the defining game of this generation and if you enjoy RPGs in any capacity this game should be right on the top of your list to buy.",10,ZELDA BOTW,METACRITIC
Lightone,03-03-2017,"Hace años que no salía un juego con este calibre, tienes unos gráficos sencillo pero que no dejan de sorprender como se mezcla todo y crea un mundo sin igual, puedes ir a donde quieras y como quieras, no hay límites ni barreras, eso si que no caiga una lluvia intensa en una pendiente por ya eso es otra historia.

Una forma de abordar el mundo abierto de ciento de forma ni limitarte, ve a donde quieras como tú quieras.",10,ZELDA BOTW,METACRITIC
Donderpants,03-03-2017,"This is the best game I've played in this entire generation of hardware. The game is beautiful, combat is fun, the shrines have been delightful- I'm very, very impressed.",10,ZELDA BOTW,METACRITIC
ChromXsome,03-03-2017,"The Legend of Zelda’s prolific, seminal history has been striking the hearts of players across the globe for three decades. Attachment fans have with the series has withstood the test of time thanks to its immense and vibrant world of Hyrule, memorable characters, iconic set pieces, composition, and more. Now the newest Zelda game is finally here and puts players back in Hyrule where they must protect the kingdom from the ferocious evil that is Calamity Ganon after being asleep for 100 years. Breath of the Wild breaks out of a lot of classic Zelda traits, while instilling new ones and simultaneously making the world and game familiar for veterans, as well as accessible and eye-opening to new players alike. Breath of the Wild is unlike anything we’ve ever seen before, not just for Zelda standards, but for gaming as a whole.

From the moment you get out of your slumber, you’re invited into the stunning portrait of Hyrule, painted in an exotic green, with the perfect blue hue of the sky and red rays of the sun. It doesn’t take long before you’re on your own and adventuring out into the wilderness, trying to recollect who you are and find your way back as a noble swordsman like you once were.

Breath of the Wild’s map size is huge. Really huge. The gigantic portion of the Great Plateau in which you begin is only a spec on the massive open world you’re put into. However, despite the size, it is surprisingly easy to find your way around thanks to landmarks and other cues that guide the player through the story and where they need to go next, but that doesn’t stop you from going off, exploring, and climbing wherever you please – or even going straight to Ganon if you so choose. It’s quite remarkable how Nintendo was able to build a game so big yet so coherent without ever losing a sense of value or direction. Everything you do feels like it has a purpose, and even if it may not seem like it right away, there will always be something down the line that rewards you for your efforts in whatever it is you do and how you choose to explore. Side quests among other tasks all have a reason and aren’t there to artificially increase the longevity of the game. Every task, every quest, every action impacts you and Hyrule as you see it.
Hyrule is your playground. Now that you have the ability to go anywhere and do virtually anything, you’ll have to be well equipped – not only with a hefty amount of stamina to climb and run, but with equipment as well. Your weapons will deteriorate and inevitably break over time, which is why you should always be on the lookout for new ones, especially those that enemies drop. Sometimes you’ll feel like you’ve conquered a certain area because you see it as “the easy part of Hyrule”, only to get hit by a flame arrow seconds later that take nearly eight hearts off of you in one hit. Always be on your guard, and if you see your weapon is about to break, you can always throw them directly at an enemy for a critical hit for one last hoorah before having to switch (snap) over to another to defend yourself further. The same will apply to your shield and arrows, and each have their own attributes and strength, so carry whatever you feel is necessary. Even if something is of an extremely low value, when you don’t have much with you, it’s always good to take it with you just in case. I can’t tell you how many close calls I’ve had only to be saved by my measly low level laughable weapons thanks to throwing and headshots. A battle of wits will always conquer a battle of strength.

Breath of the Wild introduces a new cooking system, and it’s an exciting mechanic to say the least. Those familiar with creating recipes by combining various materials gained from monster parts the items scavenged throughout the world in Monster Hunter will have a lot to look forward to. You can take just about any five items in your inventory and throw them into a cooking pot, and chances are it will make something worth having. I’ve noticed, however, that combining elements that make the most sense will give you the most reward. It’s no different from cooking in real life. Vegetables go very well with other vegetables, but sometimes meat will complement the dish as well. Maybe you’d like a nice steak with a side of carrots? Go for it. You’ll gain ten hearts for that alone. Or maybe you’d want to go the seafood route and cook some salmon with suateed mushrooms? Go for it. That’ll restore fifteen hearts and give you a temporary stamina boost as well as an increase in cold resistance. It’s all left up to the player how they want to cook, and with enough food to make the world go round, the possibilities are endless. Every dish will provide you with something useful, even the extremely gross ones.

This game is just simply stunning and amazing! Game of the Century. Called it here (first).",10,ZELDA BOTW,METACRITIC
Leotron,03-03-2017,"impresionante en todos los sentidos .
por fin superan ocarina of time .......

el mejor juego de la historia
redefine lo que es un mundo abierto",10,ZELDA BOTW,METACRITIC
kuntuzangpo,03-03-2017,"This game is a masterpiece. The critics agree: quite possibly the greatest game ever made. Several critics have said this. Don't listen to the people rating this 0, many of them even accept they have never played the game. Give yourself a treat and go get this game right now : D",10,ZELDA BOTW,METACRITIC
JSCarpio,03-03-2017,"Simplemente el mejor juego de esta generacion, de nuevo tiene que aparecer Nintendo para recuperar esa magia ya perdida, de tiempos en los que me pasaba horas jugando a la Nintendo 64 y PSX, solo pido que ojala tambien saquen el Zelda WW de Wiiu para Swich :3",10,ZELDA BOTW,METACRITIC
trurl,03-03-2017,"Played hundred of video games? Even than BotW is a fresh experience. There are some minor technical flaws, but the game is unbelieveable good. This game is the reason why you play games, not the blockbuster trash you get elsewhere.",10,ZELDA BOTW,METACRITIC
TeamSTARS,03-03-2017,"Wow what a game, an absolute masterpiece!! Nintendo showing the game industry how its done since 1983 and no signs of slowing up, hopefully many more like this to come!",10,ZELDA BOTW,METACRITIC
Xorn15,03-03-2017,"Wow, sure is salty in here. Don't listen to the naysayers, this is pure magic; I've been playing this since a little after 1 last night and I still haven't put my controller down. Sleep? What's that?",10,ZELDA BOTW,METACRITIC
Link88,03-03-2017,"Just Perfect!

Thank you Nintendo!

This game contains all Nintendo capability in development ""fantasy""

Suggested for all players (sto with console wars, please!)",10,ZELDA BOTW,METACRITIC
